	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1161	0	2
2	60	1167	7	26
3	90	1051	41	138
4	120	947	67	245
5	150	831	91	357
6	180	783	108	414
7	210	761	113	454
8	240	771	113	460
9	270	789	113	464
10	300	794	125	466
11	330	739	186	480
12	360	650	241	527
13	390	579	285	565
14	420	532	321	591
15	450	528	327	604
16	480	545	331	608
17	510	554	331	609
18	540	577	331	608
19	570	569	353	592
20	600	515	412	516
21	630	457	464	414
22	660	414	503	314
23	690	417	514	255
24	720	429	520	211
25	750	448	520	206
26	780	461	521	203
27	810	468	527	201
28	840	447	571	196
29	870	421	610	164
30	900	403	640	123
31	930	386	665	98
32	960	383	674	86
33	990	399	676	85
34	1020	410	676	84
35	1050	426	676	84
36	1080	424	687	83
37	1110	396	729	76
38	1140	351	772	67
39	1170	334	800	54
40	1200	315	818	55
41	1230	317	824	54
42	1260	327	824	53
43	1290	341	824	54
44	1320	350	824	52
45	1350	324	855	52
46	1380	300	883	48
47	1410	288	902	45
48	1440	267	927	46
49	1470	268	938	45
50	1500	279	940	43
51	1530	294	940	40
52	1560	305	940	41
53	1590	317	945	43
54	1620	297	971	42
55	1650	278	1002	38
56	1680	271	1015	36
57	1710	265	1030	30
58	1740	280	1032	28
59	1770	290	1032	29
60	1800	300	1032	30
61	1830	312	1032	31
62	1860	312	1049	31
63	1890	284	1081	32
64	1920	269	1107	33
65	1950	259	1124	28
66	1980	254	1131	29
67	2010	255	1136	29
68	2040	258	1137	31
69	2070	264	1137	29
70	2100	279	1138	28
71	2130	265	1156	30
72	2160	245	1183	32
73	2190	236	1202	30
74	2220	228	1216	31
75	2250	229	1224	29
76	2280	236	1224	28
77	2310	237	1224	29
78	2340	244	1224	28
79	2370	248	1231	28
80	2400	225	1262	26
81	2430	203	1289	24
82	2460	188	1303	25
83	2490	185	1313	25
84	2520	187	1317	25
85	2550	192	1317	24
86	2580	196	1318	23
87	2610	203	1318	23
88	2640	195	1332	19
89	2670	184	1351	19
90	2700	177	1366	17
91	2730	171	1376	14
92	2760	173	1380	14
93	2790	178	1381	14
94	2820	180	1382	15
95	2850	180	1382	13
96	2880	184	1385	12
97	2910	176	1398	12
98	2940	168	1412	10
99	2970	157	1429	10
100	3000	149	1438	12
101	3030	150	1441	11
102	3060	152	1443	12
103	3090	158	1443	12
104	3120	163	1443	14
105	3150	167	1448	14
106	3180	152	1467	14
107	3210	142	1480	13
108	3240	129	1492	16
109	3270	127	1497	16
110	3300	128	1499	17
111	3330	138	1499	15
112	3360	137	1499	17
113	3390	136	1503	17
114	3420	131	1512	17
115	3450	117	1527	17
116	3480	116	1534	16
117	3510	113	1539	13
118	3540	110	1541	14
119	3570	118	1541	14
120	3600	121	1541	15
121	3630	126	1541	13
122	3660	126	1544	13
123	3690	116	1557	13
124	3720	113	1566	13
125	3750	103	1579	10
126	3780	98	1585	10
127	3810	101	1585	10
128	3840	107	1585	9
129	3870	110	1585	7
130	3900	114	1587	7
131	3930	110	1594	7
132	3960	99	1607	6
133	3990	85	1621	9
134	4020	79	1627	9
135	4050	78	1629	10
136	4080	81	1629	10
137	4110	83	1629	10
138	4140	86	1629	9
139	4170	87	1631	9
140	4200	88	1634	9
141	4230	82	1643	9
142	4260	81	1649	9
143	4290	80	1655	9
144	4320	82	1656	10
145	4350	84	1656	11
146	4380	86	1656	11
147	4410	93	1656	11
148	4440	96	1656	11
149	4470	84	1670	13
150	4500	78	1678	10
151	4530	74	1682	11
152	4560	79	1682	9
153	4590	80	1682	9
154	4620	81	1682	9
