	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	1	2	1174
2	60	26	17	1167
3	90	144	51	1049
4	120	272	89	914
5	150	380	117	807
6	180	450	128	754
7	210	483	130	750
8	240	492	130	769
9	270	497	130	787
10	300	499	135	807
11	330	510	185	764
12	360	546	254	679
13	390	575	307	622
14	420	601	351	569
15	450	617	361	562
16	480	621	364	568
17	510	622	365	594
18	540	624	365	613
19	570	607	382	621
20	600	520	448	572
21	630	391	505	530
22	660	290	548	497
23	690	219	572	486
24	720	187	579	490
25	750	175	581	509
26	780	171	581	535
27	810	169	581	552
28	840	161	608	543
29	870	133	673	488
30	900	114	733	430
31	930	93	758	406
32	960	81	771	405
33	990	78	781	404
34	1020	77	782	416
35	1050	77	782	425
36	1080	75	788	428
37	1110	69	812	413
38	1140	71	863	362
39	1170	68	885	349
40	1200	60	904	348
41	1230	55	912	353
42	1260	55	913	363
43	1290	52	916	372
44	1320	52	916	383
45	1350	57	923	379
46	1380	61	960	347
47	1410	54	988	326
48	1440	47	1012	308
49	1470	45	1025	299
50	1500	46	1028	304
51	1530	44	1029	307
52	1560	44	1029	315
53	1590	43	1029	328
54	1620	41	1037	333
55	1650	39	1075	314
56	1680	35	1102	295
57	1710	43	1122	276
58	1740	40	1138	267
59	1770	41	1140	274
60	1800	41	1140	280
61	1830	42	1140	289
62	1860	37	1141	292
63	1890	31	1157	279
64	1920	29	1184	257
65	1950	28	1208	242
66	1980	30	1219	229
67	2010	32	1226	235
68	2040	31	1228	241
69	2070	30	1228	251
70	2100	30	1228	255
71	2130	30	1230	268
72	2160	26	1250	250
73	2190	28	1272	237
74	2220	24	1299	214
75	2250	27	1306	212
76	2280	28	1310	215
77	2310	27	1310	223
78	2340	26	1310	232
79	2370	26	1310	239
80	2400	26	1314	245
81	2430	28	1337	229
82	2460	28	1359	210
83	2490	30	1383	193
84	2520	26	1389	194
85	2550	26	1395	195
86	2580	27	1395	199
87	2610	27	1395	206
88	2640	27	1395	213
89	2670	26	1406	213
90	2700	25	1430	192
91	2730	24	1444	184
92	2760	23	1455	179
93	2790	21	1462	176
94	2820	21	1465	182
95	2850	22	1465	186
96	2880	22	1465	194
97	2910	22	1469	199
98	2940	21	1485	192
99	2970	20	1507	171
100	3000	19	1520	160
101	3030	17	1526	161
102	3060	18	1527	162
103	3090	18	1527	173
104	3120	19	1527	183
105	3150	19	1527	192
106	3180	18	1533	195
107	3210	18	1550	182
108	3240	17	1566	166
109	3270	18	1580	156
110	3300	20	1586	152
111	3330	21	1587	155
112	3360	20	1588	162
113	3390	20	1588	167
114	3420	19	1588	171
115	3450	18	1595	171
116	3480	19	1617	153
117	3510	20	1631	141
118	3540	21	1644	130
119	3570	19	1651	126
120	3600	19	1653	134
121	3630	18	1653	138
122	3660	18	1653	143
123	3690	18	1653	154
124	3720	19	1662	144
125	3750	17	1672	136
126	3780	14	1686	124
127	3810	15	1694	119
128	3840	17	1697	118
129	3870	17	1699	121
