	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1172	1	0
2	60	1158	32	16
3	90	1031	140	57
4	120	916	252	92
5	150	811	359	125
6	180	757	422	151
7	210	751	455	154
8	240	753	469	157
9	270	780	474	157
10	300	786	476	165
11	330	728	496	238
12	360	641	531	309
13	390	571	573	366
14	420	537	593	403
15	450	528	611	413
16	480	541	616	413
17	510	557	619	413
18	540	570	618	413
19	570	573	602	427
20	600	535	517	476
21	630	507	408	514
22	660	472	324	551
23	690	471	254	559
24	720	474	222	562
25	750	488	207	563
26	780	497	204	563
27	810	521	201	564
28	840	501	196	601
29	870	461	164	664
30	900	439	127	699
31	930	428	109	721
32	960	440	93	726
33	990	446	89	728
34	1020	466	86	728
35	1050	484	86	728
36	1080	498	88	731
37	1110	463	84	781
38	1140	419	80	834
39	1170	391	69	866
40	1200	374	63	894
41	1230	369	61	901
42	1260	384	61	902
43	1290	394	62	902
44	1320	401	60	902
45	1350	393	59	924
46	1380	356	59	969
47	1410	333	53	1000
48	1440	315	49	1027
49	1470	312	49	1037
50	1500	319	50	1039
51	1530	334	50	1039
52	1560	349	49	1039
53	1590	355	50	1041
54	1620	346	47	1065
55	1650	317	43	1099
56	1680	292	39	1130
57	1710	291	36	1145
58	1740	285	36	1153
59	1770	293	35	1157
60	1800	305	35	1157
61	1830	321	34	1157
62	1860	322	33	1167
63	1890	296	30	1202
64	1920	263	34	1237
65	1950	245	36	1260
66	1980	239	35	1276
67	2010	240	33	1279
68	2040	251	33	1279
69	2070	258	33	1279
70	2100	269	32	1279
71	2130	260	30	1295
72	2160	234	30	1325
73	2190	215	29	1349
74	2220	205	30	1360
75	2250	200	30	1369
76	2280	205	28	1372
77	2310	211	27	1372
78	2340	217	27	1372
79	2370	220	27	1374
80	2400	218	25	1389
81	2430	198	21	1413
82	2460	187	20	1427
83	2490	186	18	1431
84	2520	185	17	1440
85	2550	190	17	1441
86	2580	196	17	1441
87	2610	204	17	1441
88	2640	200	17	1448
89	2670	187	19	1465
90	2700	169	17	1485
91	2730	168	15	1500
92	2760	165	16	1507
93	2790	169	15	1508
94	2820	174	15	1508
95	2850	184	15	1508
96	2880	190	15	1511
97	2910	179	15	1525
98	2940	161	15	1549
99	2970	154	13	1563
100	3000	149	12	1571
101	3030	152	14	1574
102	3060	160	14	1576
103	3090	164	15	1576
104	3120	170	15	1576
105	3150	175	15	1579
106	3180	169	14	1590
107	3210	155	15	1604
108	3240	144	16	1617
109	3270	138	17	1623
110	3300	138	18	1625
111	3330	141	18	1626
112	3360	141	18	1626
113	3390	147	18	1626
114	3420	148	18	1631
115	3450	134	16	1646
116	3480	130	17	1653
117	3510	125	16	1662
118	3540	123	16	1668
119	3570	122	14	1671
120	3600	123	14	1671
121	3630	128	14	1671
122	3660	135	14	1671
123	3690	123	14	1685
124	3720	109	12	1702
125	3750	102	12	1711
126	3780	95	11	1721
127	3810	93	9	1724
128	3840	94	9	1724
129	3870	99	9	1724
130	3900	108	9	1724
131	3930	110	9	1724
132	3960	94	12	1739
133	3990	89	11	1747
134	4020	88	11	1751
135	4050	85	11	1757
136	4080	82	13	1761
137	4110	87	13	1761
138	4140	91	13	1761
139	4170	95	12	1761
140	4200	93	12	1764
141	4230	87	10	1774
142	4260	81	11	1779
143	4290	79	10	1783
144	4320	78	11	1786
145	4350	78	10	1788
146	4380	80	10	1788
147	4410	85	11	1788
148	4440	86	11	1788
149	4470	83	9	1793
150	4500	73	8	1806
151	4530	73	8	1810
152	4560	69	8	1815
153	4590	72	6	1816
154	4620	77	6	1818
155	4650	82	6	1819
156	4680	86	6	1819
157	4710	86	5	1823
158	4740	82	5	1830
159	4770	73	3	1839
160	4800	72	4	1841
161	4830	71	4	1843
162	4860	73	5	1843
163	4890	75	5	1843
