	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1172	0	0
2	60	1172	8	19
3	90	1063	45	128
4	120	920	88	255
5	150	826	115	346
6	180	756	138	414
7	210	764	146	433
8	240	786	146	443
9	270	822	146	445
10	300	843	147	445
11	330	815	192	453
12	360	726	274	487
13	390	657	330	516
14	420	588	390	547
15	450	571	406	567
16	480	584	407	576
17	510	597	407	580
18	540	613	408	583
19	570	618	413	576
20	600	587	459	497
21	630	544	512	374
22	660	508	549	291
23	690	488	580	228
24	720	482	595	208
25	750	497	600	197
26	780	508	601	196
27	810	535	601	196
28	840	543	604	195
29	870	523	652	168
30	900	467	713	142
31	930	433	752	117
32	960	410	785	98
33	990	421	793	91
34	1020	433	797	87
35	1050	448	797	86
36	1080	461	797	84
37	1110	476	800	80
38	1140	456	831	77
39	1170	412	883	62
40	1200	384	920	57
41	1230	378	941	51
42	1260	382	950	50
43	1290	393	952	50
44	1320	402	952	51
45	1350	426	952	48
46	1380	433	954	48
47	1410	398	1001	45
48	1440	365	1035	45
49	1470	345	1062	44
50	1500	345	1077	42
51	1530	355	1085	43
52	1560	360	1089	44
53	1590	375	1089	43
54	1620	383	1089	43
55	1650	395	1092	41
56	1680	370	1129	36
57	1710	345	1162	33
58	1740	337	1183	37
59	1770	331	1202	38
60	1800	333	1211	39
61	1830	338	1213	36
62	1860	349	1213	36
63	1890	358	1213	36
64	1920	357	1223	36
65	1950	323	1263	32
66	1980	286	1299	34
67	2010	273	1317	36
68	2040	265	1332	37
69	2070	265	1337	37
70	2100	269	1337	38
71	2130	285	1337	40
72	2160	292	1337	42
73	2190	300	1343	40
74	2220	280	1368	37
75	2250	261	1400	35
76	2280	247	1421	34
77	2310	249	1432	31
78	2340	251	1436	35
79	2370	257	1436	35
80	2400	266	1436	35
81	2430	271	1436	35
82	2460	277	1444	33
83	2490	273	1462	28
84	2520	250	1486	29
85	2550	229	1512	29
86	2580	220	1527	28
87	2610	225	1533	30
88	2640	229	1534	27
89	2670	232	1534	25
90	2700	241	1534	25
91	2730	241	1540	27
92	2760	215	1569	27
93	2790	214	1582	27
94	2820	201	1602	28
95	2850	200	1611	27
96	2880	200	1617	28
97	2910	211	1618	28
98	2940	219	1618	29
99	2970	223	1618	30
100	3000	229	1623	31
101	3030	210	1650	27
102	3060	203	1664	23
103	3090	201	1678	21
104	3120	201	1684	20
105	3150	206	1684	20
106	3180	213	1684	22
107	3210	221	1684	22
