	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	0	1	1163
2	60	23	17	1152
3	90	143	57	1030
4	120	283	92	878
5	150	382	117	769
6	180	451	134	710
7	210	476	136	702
8	240	482	136	727
9	270	483	137	744
10	300	485	143	762
11	330	510	190	715
12	360	544	249	652
13	390	584	286	593
14	420	617	310	558
15	450	641	325	535
16	480	649	327	538
17	510	650	327	558
18	540	653	327	579
19	570	640	343	583
20	600	559	407	531
21	630	435	459	479
22	660	341	495	450
23	690	272	521	433
24	720	244	528	436
25	750	237	529	444
26	780	234	529	459
27	810	234	529	473
28	840	217	558	458
29	870	186	605	428
30	900	153	647	390
31	930	124	669	377
32	960	108	683	380
33	990	97	689	382
34	1020	96	690	386
35	1050	94	690	399
36	1080	96	693	402
37	1110	91	730	376
38	1140	76	773	340
39	1170	64	803	321
40	1200	59	834	298
41	1230	51	841	301
42	1260	52	841	303
43	1290	55	841	312
44	1320	56	841	323
45	1350	55	846	325
46	1380	54	872	308
47	1410	51	916	270
48	1440	48	933	263
49	1470	41	943	257
50	1500	44	944	268
51	1530	43	945	278
52	1560	43	945	289
53	1590	42	945	303
54	1620	38	952	314
55	1650	31	975	301
56	1680	33	998	285
57	1710	30	1016	277
58	1740	31	1031	272
59	1770	31	1032	278
60	1800	28	1032	292
61	1830	28	1032	311
62	1860	26	1032	322
63	1890	26	1052	310
64	1920	25	1083	288
65	1950	29	1099	279
66	1980	27	1119	273
67	2010	26	1126	279
68	2040	23	1130	286
69	2070	22	1130	296
70	2100	23	1130	309
71	2130	23	1132	320
72	2160	25	1168	289
73	2190	27	1197	268
74	2220	28	1217	255
75	2250	30	1234	243
76	2280	27	1236	253
77	2310	27	1236	261
78	2340	27	1237	267
79	2370	27	1237	280
80	2400	27	1241	288
81	2430	28	1272	269
82	2460	30	1298	249
83	2490	31	1315	238
84	2520	29	1323	236
85	2550	28	1325	244
86	2580	29	1326	251
87	2610	29	1326	270
88	2640	29	1326	274
89	2670	28	1339	267
90	2700	26	1372	238
91	2730	25	1391	223
92	2760	21	1408	209
93	2790	22	1420	204
94	2820	22	1421	214
95	2850	22	1421	219
96	2880	23	1421	230
97	2910	24	1423	236
98	2940	29	1442	217
99	2970	23	1466	197
100	3000	21	1485	178
101	3030	24	1500	167
102	3060	24	1501	169
103	3090	24	1501	174
104	3120	24	1501	177
105	3150	23	1501	185
106	3180	23	1502	189
107	3210	23	1518	177
108	3240	22	1533	167
109	3270	20	1550	156
110	3300	21	1558	153
111	3330	23	1558	157
112	3360	23	1558	160
113	3390	24	1558	166
114	3420	24	1558	174
115	3450	21	1566	170
116	3480	19	1585	154
117	3510	21	1597	144
118	3540	19	1610	138
119	3570	18	1614	134
120	3600	17	1616	141
121	3630	17	1617	147
122	3660	17	1617	152
123	3690	17	1619	162
124	3720	17	1633	154
125	3750	18	1650	146
126	3780	19	1661	136
127	3810	19	1676	127
128	3840	17	1681	129
129	3870	16	1681	134
130	3900	15	1681	137
131	3930	14	1681	147
132	3960	13	1681	151
133	3990	11	1695	139
134	4020	11	1716	121
135	4050	12	1725	113
136	4080	13	1729	115
137	4110	14	1734	118
138	4140	15	1736	119
139	4170	15	1736	124
140	4200	15	1736	127
141	4230	16	1741	124
142	4260	14	1760	108
143	4290	13	1769	104
144	4320	13	1776	102
145	4350	13	1783	95
146	4380	15	1784	95
147	4410	15	1784	99
148	4440	14	1784	101
149	4470	16	1785	103
150	4500	17	1790	100
151	4530	14	1799	92
152	4560	14	1807	87
153	4590	15	1811	83
154	4620	14	1811	86
