	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1183	0	1
2	60	1166	24	30
3	90	1065	51	139
4	120	926	82	271
5	150	813	111	388
6	180	750	130	460
7	210	734	137	489
8	240	746	137	496
9	270	764	137	502
10	300	777	143	505
11	330	745	192	518
12	360	661	260	551
13	390	603	298	592
14	420	566	331	616
15	450	544	344	641
16	480	556	345	645
17	510	579	346	647
18	540	593	346	647
19	570	591	363	628
20	600	543	423	546
21	630	484	476	424
22	660	454	515	324
23	690	440	533	249
24	720	449	540	208
25	750	464	541	203
26	780	484	541	196
27	810	495	542	197
28	840	499	556	183
29	870	466	600	161
30	900	422	650	128
31	930	413	673	96
32	960	401	696	82
33	990	413	702	73
34	1020	417	703	71
35	1050	433	704	72
36	1080	443	707	71
37	1110	426	738	62
38	1140	371	798	51
39	1170	344	826	52
40	1200	341	844	42
41	1230	351	853	43
42	1260	354	855	42
43	1290	362	857	43
44	1320	370	857	43
45	1350	380	861	44
46	1380	362	886	43
47	1410	337	924	38
48	1440	318	954	38
49	1470	308	971	42
50	1500	319	974	39
51	1530	325	976	40
52	1560	335	976	40
53	1590	348	976	39
54	1620	346	985	41
55	1650	324	1017	37
56	1680	301	1040	30
57	1710	285	1062	30
58	1740	281	1071	31
59	1770	288	1073	30
60	1800	295	1073	30
61	1830	301	1073	28
62	1860	316	1073	28
63	1890	310	1094	26
64	1920	274	1136	29
65	1950	254	1158	34
66	1980	240	1176	29
67	2010	244	1183	29
68	2040	251	1183	29
69	2070	261	1183	27
70	2100	275	1183	27
71	2130	279	1185	25
72	2160	272	1204	25
73	2190	244	1239	28
74	2220	229	1255	29
75	2250	222	1269	29
76	2280	227	1274	28
77	2310	234	1276	27
78	2340	245	1276	27
79	2370	250	1276	26
80	2400	253	1286	26
81	2430	227	1318	27
82	2460	225	1331	20
83	2490	210	1346	21
84	2520	203	1355	21
85	2550	212	1355	22
86	2580	219	1355	22
87	2610	219	1355	26
88	2640	230	1355	26
89	2670	225	1362	25
90	2700	208	1385	21
91	2730	192	1406	20
92	2760	189	1415	18
93	2790	194	1423	17
94	2820	202	1423	18
95	2850	211	1423	18
96	2880	217	1423	20
97	2910	229	1424	20
98	2940	211	1446	19
99	2970	204	1463	21
100	3000	188	1476	21
101	3030	184	1485	20
102	3060	183	1489	21
103	3090	186	1491	20
104	3120	193	1491	17
105	3150	201	1491	16
106	3180	208	1496	16
107	3210	192	1521	18
108	3240	180	1541	18
109	3270	173	1550	18
110	3300	171	1557	18
111	3330	178	1560	17
112	3360	185	1560	17
113	3390	191	1560	15
114	3420	196	1560	16
115	3450	192	1574	15
116	3480	181	1595	16
117	3510	154	1620	14
118	3540	144	1635	14
119	3570	144	1643	13
120	3600	142	1647	13
121	3630	146	1647	13
