	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	3	1178	2
2	60	29	1166	16
3	90	134	1076	52
4	120	238	968	84
5	150	361	833	116
6	180	425	775	139
7	210	464	748	144
8	240	473	759	146
9	270	474	796	146
10	300	476	827	157
11	330	494	766	224
12	360	517	681	316
13	390	565	595	371
14	420	596	544	414
15	450	618	529	427
16	480	623	539	428
17	510	623	547	429
18	540	621	563	429
19	570	604	578	435
20	600	523	551	480
21	630	428	499	535
22	660	306	477	567
23	690	245	447	598
24	720	204	446	607
25	750	197	455	607
26	780	194	466	607
27	810	193	491	607
28	840	181	483	625
29	870	163	431	676
30	900	119	406	715
31	930	95	388	738
32	960	75	389	753
33	990	71	395	757
34	1020	72	407	758
35	1050	71	423	758
36	1080	74	435	760
37	1110	73	424	783
38	1140	62	388	829
39	1170	57	372	856
40	1200	48	358	878
41	1230	48	358	887
42	1260	47	369	889
43	1290	47	382	889
44	1320	46	393	889
45	1350	47	411	892
46	1380	39	398	916
47	1410	41	359	958
48	1440	43	329	987
49	1470	41	313	1007
50	1500	45	313	1017
51	1530	43	326	1019
52	1560	42	338	1019
53	1590	39	346	1019
54	1620	37	347	1027
55	1650	40	330	1052
56	1680	44	302	1081
57	1710	44	287	1106
58	1740	43	279	1121
59	1770	43	280	1127
60	1800	44	288	1128
61	1830	44	302	1128
62	1860	42	316	1128
63	1890	42	315	1137
64	1920	42	297	1171
65	1950	42	270	1198
66	1980	37	264	1211
67	2010	36	263	1221
68	2040	36	268	1222
69	2070	38	273	1223
70	2100	38	283	1223
71	2130	39	285	1226
72	2160	34	279	1240
73	2190	36	254	1267
74	2220	36	237	1292
75	2250	37	223	1306
76	2280	38	219	1316
77	2310	38	218	1319
78	2340	37	228	1319
79	2370	38	235	1319
80	2400	38	246	1320
81	2430	35	231	1343
82	2460	30	217	1365
83	2490	34	202	1379
84	2520	37	194	1390
85	2550	35	199	1394
86	2580	34	201	1395
87	2610	33	207	1395
88	2640	32	216	1395
89	2670	32	217	1403
90	2700	27	197	1426
91	2730	29	178	1444
92	2760	28	166	1459
93	2790	25	165	1463
94	2820	23	169	1465
95	2850	24	175	1465
96	2880	23	179	1465
97	2910	23	187	1465
98	2940	23	179	1480
99	2970	23	161	1507
100	3000	21	157	1515
101	3030	18	149	1524
102	3060	17	153	1529
103	3090	17	157	1530
104	3120	18	162	1530
105	3150	17	173	1530
106	3180	17	178	1531
107	3210	16	171	1543
108	3240	15	146	1571
109	3270	13	143	1579
110	3300	14	136	1589
111	3330	16	142	1591
112	3360	16	143	1592
113	3390	16	147	1592
114	3420	17	147	1592
115	3450	17	152	1594
116	3480	17	145	1604
117	3510	15	143	1611
118	3540	15	138	1623
119	3570	16	134	1632
120	3600	17	129	1637
121	3630	16	139	1637
122	3660	16	146	1637
123	3690	16	153	1637
124	3720	16	156	1641
125	3750	14	142	1660
126	3780	12	128	1676
127	3810	11	123	1684
128	3840	11	119	1691
129	3870	10	120	1692
130	3900	10	128	1692
131	3930	10	133	1692
132	3960	10	141	1692
133	3990	9	139	1698
134	4020	8	124	1717
135	4050	10	114	1727
136	4080	9	115	1734
137	4110	9	108	1744
138	4140	10	111	1744
139	4170	10	117	1744
140	4200	10	126	1744
141	4230	11	133	1744
142	4260	12	130	1754
143	4290	14	124	1766
144	4320	14	117	1777
145	4350	11	116	1781
146	4380	11	118	1784
147	4410	11	119	1785
148	4440	10	127	1785
149	4470	10	128	1785
150	4500	10	130	1788
151	4530	9	129	1796
152	4560	7	107	1819
153	4590	8	103	1827
154	4620	9	98	1833
155	4650	8	102	1835
156	4680	8	104	1835
157	4710	8	108	1835
158	4740	8	110	1835
159	4770	8	111	1838
160	4800	9	99	1854
161	4830	8	96	1865
162	4860	9	97	1872
163	4890	12	91	1877
164	4920	13	91	1879
165	4950	13	99	1879
166	4980	14	100	1879
167	5010	14	103	1879
168	5040	14	100	1884
169	5070	13	92	1897
170	5100	12	86	1909
171	5130	10	87	1911
172	5160	10	88	1913
173	5190	10	90	1913
174	5220	11	90	1913
175	5250	10	94	1913
176	5280	9	95	1915
177	5310	10	88	1920
178	5340	11	78	1932
179	5370	10	72	1943
180	5400	7	70	1946
181	5430	7	73	1946
182	5460	8	74	1946
183	5490	7	77	1946
184	5520	7	80	1946
185	5550	7	80	1948
186	5580	9	73	1958
187	5610	11	61	1969
188	5640	11	58	1972
189	5670	11	58	1975
190	5700	11	58	1977
191	5730	11	58	1977
192	5760	10	60	1977
193	5790	11	61	1977
194	5820	9	63	1979
195	5850	7	61	1982
196	5880	8	58	1986
197	5910	8	55	1990
198	5940	7	55	1992
199	5970	6	57	1993
200	6000	6	57	1993
201	6030	6	60	1993
202	6060	6	63	1993
203	6090	5	62	1996
204	6120	2	58	2003
205	6150	2	56	2009
206	6180	2	53	2013
207	6210	2	54	2015
208	6240	2	57	2015
209	6270	2	59	2015
210	6300	1	62	2015
211	6330	1	65	2015
212	6360	1	65	2019
213	6390	0	60	2025
214	6420	1	59	2027
215	6450	1	58	2030
216	6480	1	57	2032
217	6510	2	59	2032
218	6540	2	62	2032
219	6570	2	64	2032
220	6600	2	63	2033
221	6630	2	59	2037
222	6660	4	54	2044
223	6690	4	52	2048
224	6720	6	51	2048
225	6750	6	51	2049
226	6780	6	52	2049
227	6810	7	53	2049
228	6840	8	54	2050
229	6870	9	53	2055
230	6900	9	53	2059
231	6930	9	51	2061
232	6960	10	51	2064
233	6990	10	51	2065
234	7020	9	51	2065
235	7050	10	51	2065
236	7080	10	52	2065
237	7110	10	55	2065
238	7140	10	56	2067
239	7170	9	52	2072
240	7200	12	47	2076
241	7230	10	47	2078
242	7260	10	46	2079
243	7290	10	47	2080
244	7320	9	48	2080
245	7350	8	49	2080
246	7380	8	48	2082
247	7410	8	45	2085
248	7440	7	43	2088
249	7470	6	41	2091
250	7500	7	41	2092
251	7530	8	41	2094
252	7560	8	43	2094
253	7590	8	43	2094
254	7620	8	45	2094
255	7650	8	47	2095
256	7680	8	40	2102
257	7710	5	41	2104
258	7740	5	37	2108
259	7770	5	35	2111
260	7800	5	37	2111
261	7830	5	37	2111
262	7860	5	41	2111
263	7890	5	44	2111
264	7920	4	46	2113
265	7950	5	41	2124
266	7980	5	39	2129
