	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	3	1	1171
2	60	20	13	1188
3	90	120	52	1076
4	120	246	78	957
5	150	352	111	851
6	180	414	132	791
7	210	451	139	779
8	240	457	140	793
9	270	461	141	808
10	300	463	142	843
11	330	477	195	813
12	360	518	270	727
13	390	553	332	653
14	420	572	376	609
15	450	592	390	591
16	480	601	395	595
17	510	603	395	607
18	540	604	395	631
19	570	589	402	635
20	600	515	457	599
21	630	399	520	553
22	660	301	567	510
23	690	240	587	495
24	720	205	598	507
25	750	197	599	524
26	780	195	599	547
27	810	194	599	562
28	840	186	617	563
29	870	155	673	518
30	900	130	720	478
31	930	116	762	452
32	960	103	791	427
33	990	97	799	431
34	1020	95	799	445
35	1050	94	799	460
36	1080	93	799	470
37	1110	88	819	467
38	1140	76	863	426
39	1170	68	892	409
40	1200	64	927	383
41	1230	66	943	375
42	1260	68	947	383
43	1290	67	949	397
44	1320	66	949	414
45	1350	69	950	420
46	1380	66	974	420
47	1410	58	1026	380
48	1440	53	1057	356
49	1470	48	1079	345
50	1500	46	1089	351
51	1530	47	1090	356
52	1560	49	1090	361
53	1590	49	1090	369
54	1620	50	1091	380
55	1650	47	1115	363
56	1680	47	1159	323
57	1710	44	1186	304
58	1740	40	1208	287
59	1770	40	1212	294
60	1800	39	1214	301
61	1830	40	1214	312
62	1860	37	1214	325
63	1890	37	1218	333
64	1920	36	1259	306
65	1950	32	1286	287
66	1980	29	1303	274
67	2010	30	1315	268
68	2040	29	1320	267
69	2070	27	1322	271
70	2100	30	1322	282
71	2130	28	1322	292
72	2160	28	1330	292
73	2190	26	1358	274
74	2220	27	1386	253
75	2250	26	1411	231
76	2280	27	1421	224
77	2310	26	1426	226
78	2340	25	1426	238
79	2370	26	1426	244
80	2400	27	1426	256
81	2430	25	1438	251
82	2460	28	1470	225
83	2490	26	1490	211
84	2520	30	1508	194
85	2550	29	1513	200
86	2580	30	1515	199
87	2610	28	1515	205
88	2640	28	1515	212
89	2670	28	1516	218
90	2700	27	1525	215
91	2730	26	1547	193
92	2760	26	1568	180
93	2790	24	1583	170
94	2820	27	1592	167
95	2850	27	1592	177
96	2880	26	1592	184
97	2910	26	1592	190
98	2940	24	1592	199
99	2970	21	1604	197
100	3000	21	1630	176
101	3030	17	1639	171
102	3060	19	1648	162
103	3090	19	1651	163
104	3120	19	1651	167
105	3150	19	1651	170
106	3180	20	1651	176
107	3210	19	1654	178
108	3240	17	1669	171
109	3270	16	1685	156
110	3300	18	1696	149
111	3330	14	1700	146
112	3360	15	1702	158
113	3390	16	1702	162
114	3420	17	1702	164
115	3450	17	1702	174
116	3480	17	1705	178
117	3510	17	1723	166
118	3540	19	1739	149
119	3570	18	1745	148
120	3600	19	1748	149
121	3630	20	1750	150
122	3660	20	1750	154
123	3690	20	1750	157
124	3720	19	1750	161
125	3750	19	1756	158
126	3780	17	1775	143
127	3810	17	1787	134
128	3840	18	1799	128
129	3870	17	1802	130
130	3900	17	1803	132
131	3930	17	1803	136
132	3960	16	1803	140
133	3990	16	1804	147
134	4020	14	1810	148
135	4050	12	1832	128
136	4080	10	1841	121
137	4110	9	1844	122
