	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	3	0	1175
2	60	29	14	1170
3	90	120	46	1081
4	120	250	82	941
5	150	359	109	831
6	180	438	126	768
7	210	476	131	760
8	240	485	131	779
9	270	488	131	803
10	300	490	141	813
11	330	506	190	764
12	360	530	259	698
13	390	566	303	628
14	420	590	340	586
15	450	610	354	580
16	480	616	359	596
17	510	617	359	614
18	540	614	359	631
19	570	597	375	648
20	600	522	436	597
21	630	418	486	543
22	660	319	521	512
23	690	243	541	498
24	720	203	553	502
25	750	191	554	514
26	780	185	554	537
27	810	187	555	552
28	840	177	577	544
29	870	163	629	507
30	900	134	684	463
31	930	111	708	447
32	960	93	726	446
33	990	87	731	453
34	1020	86	731	474
35	1050	87	731	497
36	1080	87	734	514
37	1110	83	767	487
38	1140	71	827	439
39	1170	65	878	398
40	1200	57	905	381
41	1230	56	916	386
42	1260	55	918	398
43	1290	56	919	404
44	1320	54	919	415
45	1350	52	926	417
46	1380	51	955	392
47	1410	43	1012	354
48	1440	43	1034	339
49	1470	44	1055	325
50	1500	43	1061	326
51	1530	43	1061	336
52	1560	42	1061	351
53	1590	42	1061	363
54	1620	42	1078	360
55	1650	34	1119	333
56	1680	33	1151	308
57	1710	34	1172	290
58	1740	31	1184	287
59	1770	35	1188	285
60	1800	36	1190	293
61	1830	35	1190	306
62	1860	35	1191	316
63	1890	33	1220	293
64	1920	34	1258	270
65	1950	34	1283	255
66	1980	30	1299	251
67	2010	29	1309	250
68	2040	27	1311	259
69	2070	27	1311	279
70	2100	28	1311	285
71	2130	28	1312	290
72	2160	29	1335	273
73	2190	31	1365	249
74	2220	31	1379	240
75	2250	26	1387	240
76	2280	25	1393	242
77	2310	23	1396	246
78	2340	23	1396	258
79	2370	23	1396	267
80	2400	23	1403	266
81	2430	23	1426	248
82	2460	26	1442	234
83	2490	29	1471	208
84	2520	29	1481	204
85	2550	29	1484	210
86	2580	30	1485	217
87	2610	30	1485	220
88	2640	31	1486	223
89	2670	30	1495	218
90	2700	31	1518	201
91	2730	30	1541	181
92	2760	28	1549	178
93	2790	27	1552	177
94	2820	28	1556	183
95	2850	29	1557	185
96	2880	29	1557	189
97	2910	28	1560	193
98	2940	27	1573	182
99	2970	22	1583	178
100	3000	22	1598	166
101	3030	23	1607	160
102	3060	25	1613	158
103	3090	26	1614	164
104	3120	26	1614	171
105	3150	25	1614	176
106	3180	26	1622	171
107	3210	26	1637	162
108	3240	23	1651	151
109	3270	20	1663	145
110	3300	20	1668	143
111	3330	20	1672	143
112	3360	19	1672	151
113	3390	19	1672	158
114	3420	19	1672	163
115	3450	18	1687	150
116	3480	16	1692	151
117	3510	17	1704	143
118	3540	17	1714	137
119	3570	16	1721	131
120	3600	15	1722	140
121	3630	13	1722	143
122	3660	14	1722	145
123	3690	14	1723	147
124	3720	13	1737	141
125	3750	13	1749	134
126	3780	16	1759	128
127	3810	18	1765	120
128	3840	18	1767	120
129	3870	18	1767	123
130	3900	18	1767	126
131	3930	18	1767	128
132	3960	18	1770	128
133	3990	19	1779	121
134	4020	17	1790	117
135	4050	18	1798	111
136	4080	15	1806	110
137	4110	15	1806	111
138	4140	15	1806	115
139	4170	15	1806	119
140	4200	13	1806	125
