	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	1	1171	0
2	60	17	1158	30
3	90	46	1063	137
4	120	73	935	260
5	150	111	840	349
6	180	129	786	416
7	210	135	778	443
8	240	140	790	449
9	270	140	827	451
10	300	144	840	454
11	330	190	803	470
12	360	280	709	505
13	390	331	651	534
14	420	353	628	555
15	450	362	619	578
16	480	364	626	587
17	510	365	653	589
18	540	365	681	589
19	570	377	695	571
20	600	433	654	486
21	630	501	591	368
22	660	539	560	290
23	690	566	534	228
24	720	580	530	201
25	750	581	540	197
26	780	582	551	200
27	810	582	568	199
28	840	591	582	192
29	870	646	538	157
30	900	684	503	137
31	930	717	487	120
32	960	745	468	104
33	990	752	466	93
34	1020	752	481	90
35	1050	752	495	92
36	1080	752	509	92
37	1110	770	499	88
38	1140	820	462	82
39	1170	860	434	74
40	1200	899	407	64
41	1230	912	402	60
42	1260	925	397	59
43	1290	926	407	55
44	1320	926	424	53
45	1350	927	429	54
46	1380	947	424	53
47	1410	987	397	49
48	1440	1020	369	48
49	1470	1043	352	43
50	1500	1053	347	44
51	1530	1054	360	45
52	1560	1054	374	44
53	1590	1054	383	44
54	1620	1055	395	42
55	1650	1100	363	40
56	1680	1131	337	41
57	1710	1173	303	40
58	1740	1191	291	38
59	1770	1197	292	35
60	1800	1198	298	36
61	1830	1199	305	36
62	1860	1199	316	35
63	1890	1205	317	35
64	1920	1225	303	32
65	1950	1258	274	33
66	1980	1281	256	33
67	2010	1296	250	32
68	2040	1306	247	31
69	2070	1307	253	31
70	2100	1307	265	30
71	2130	1307	274	29
72	2160	1310	282	31
73	2190	1331	263	31
74	2220	1355	244	29
75	2250	1375	226	34
76	2280	1384	216	37
77	2310	1386	217	36
78	2340	1386	225	36
79	2370	1386	233	36
80	2400	1387	243	37
81	2430	1403	233	37
82	2460	1434	208	34
83	2490	1448	200	34
84	2520	1463	191	33
85	2550	1470	188	32
86	2580	1471	192	33
87	2610	1471	196	33
88	2640	1471	202	33
89	2670	1471	209	32
90	2700	1485	200	30
91	2730	1506	182	28
92	2760	1523	168	23
93	2790	1536	159	16
94	2820	1542	157	17
95	2850	1542	160	18
96	2880	1542	167	19
97	2910	1542	175	17
98	2940	1543	177	19
99	2970	1563	160	18
100	3000	1580	140	22
101	3030	1594	128	22
102	3060	1597	128	21
103	3090	1601	129	21
104	3120	1602	132	20
105	3150	1602	140	20
106	3180	1602	144	20
107	3210	1605	147	19
108	3240	1612	146	20
109	3270	1627	137	21
110	3300	1634	133	25
111	3330	1639	134	26
112	3360	1641	133	24
113	3390	1641	136	23
114	3420	1641	145	23
115	3450	1641	155	21
116	3480	1644	157	20
117	3510	1662	143	19
118	3540	1674	137	17
119	3570	1683	133	18
120	3600	1693	127	21
121	3630	1694	130	21
122	3660	1694	136	21
123	3690	1694	142	21
124	3720	1694	147	21
125	3750	1698	144	20
126	3780	1718	128	18
127	3810	1730	121	18
128	3840	1740	120	14
129	3870	1742	124	14
130	3900	1742	129	14
131	3930	1742	134	15
132	3960	1742	136	15
133	3990	1742	144	15
134	4020	1751	138	12
135	4050	1767	125	12
136	4080	1777	113	14
137	4110	1785	106	15
138	4140	1788	106	15
139	4170	1788	108	15
140	4200	1788	113	15
141	4230	1788	116	15
142	4260	1788	121	14
143	4290	1800	111	13
144	4320	1817	101	11
145	4350	1828	88	14
146	4380	1834	83	14
147	4410	1836	82	15
148	4440	1838	81	15
149	4470	1838	82	15
150	4500	1838	84	15
151	4530	1840	85	15
152	4560	1844	85	15
153	4590	1855	76	10
154	4620	1859	73	10
155	4650	1865	66	10
156	4680	1867	66	10
157	4710	1867	68	10
158	4740	1867	70	10
159	4770	1867	70	10
160	4800	1868	73	10
161	4830	1874	69	10
162	4860	1878	69	7
163	4890	1882	67	7
164	4920	1883	69	6
165	4950	1886	66	6
166	4980	1886	68	6
167	5010	1886	71	6
168	5040	1886	71	6
169	5070	1887	71	6
170	5100	1891	67	7
171	5130	1895	66	4
172	5160	1901	62	3
173	5190	1905	58	3
174	5220	1905	59	3
175	5250	1905	62	3
176	5280	1905	64	3
177	5310	1905	65	3
178	5340	1912	61	4
179	5370	1921	55	4
180	5400	1923	52	6
181	5430	1924	49	10
182	5460	1925	50	11
183	5490	1925	52	11
184	5520	1925	53	11
185	5550	1925	54	11
186	5580	1925	55	11
187	5610	1929	52	10
188	5640	1933	50	10
189	5670	1937	49	9
190	5700	1940	45	11
191	5730	1941	47	12
192	5760	1941	47	12
193	5790	1941	50	12
194	5820	1941	55	12
195	5850	1942	54	12
196	5880	1949	49	11
197	5910	1955	43	9
198	5940	1958	42	5
199	5970	1958	42	3
200	6000	1958	44	3
201	6030	1958	44	3
202	6060	1958	47	3
203	6090	1958	49	3
204	6120	1959	47	4
205	6150	1968	40	4
206	6180	1970	39	4
207	6210	1971	41	4
208	6240	1971	43	2
209	6270	1972	43	2
210	6300	1972	44	2
211	6330	1972	44	2
212	6360	1972	45	2
213	6390	1974	46	2
214	6420	1981	37	4
215	6450	1983	36	5
216	6480	1985	34	5
217	6510	1988	32	5
218	6540	1988	34	5
219	6570	1988	35	6
220	6600	1988	36	6
221	6630	1988	40	5
222	6660	1989	40	6
223	6690	1992	39	6
224	6720	1997	34	5
225	6750	1997	34	5
226	6780	1998	33	5
227	6810	1998	34	5
228	6840	1998	34	6
229	6870	1998	37	6
230	6900	1998	38	6
231	6930	2003	32	5
232	6960	2009	27	4
233	6990	2013	23	4
234	7020	2014	22	4
235	7050	2014	22	4
236	7080	2014	23	3
237	7110	2014	26	3
238	7140	2014	26	3
239	7170	2014	26	2
240	7200	2016	24	2
241	7230	2017	23	2
242	7260	2021	20	3
243	7290	2023	21	3
244	7320	2024	20	3
245	7350	2024	22	2
246	7380	2024	23	2
247	7410	2024	24	2
248	7440	2024	27	1
249	7470	2028	23	1
250	7500	2033	18	1
251	7530	2033	17	2
252	7560	2034	17	2
253	7590	2034	17	2
254	7620	2034	17	3
255	7650	2034	17	3
256	7680	2034	17	3
257	7710	2037	14	3
258	7740	2042	9	3
259	7770	2042	9	2
260	7800	2042	9	2
261	7830	2042	9	2
262	7860	2042	10	2
263	7890	2042	10	2
264	7920	2042	10	2
265	7950	2042	10	2
266	7980	2042	11	2
