	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1166	3	2
2	60	1150	31	21
3	90	1052	128	54
4	120	914	250	90
5	150	836	337	117
6	180	773	406	136
7	210	768	427	141
8	240	781	436	141
9	270	810	438	141
10	300	827	444	152
11	330	785	460	210
12	360	725	485	271
13	390	677	519	312
14	420	652	541	333
15	450	647	554	341
16	480	672	557	343
17	510	702	557	343
18	540	722	555	345
19	570	702	547	390
20	600	626	471	472
21	630	574	359	521
22	660	555	273	548
23	690	556	199	560
24	720	574	180	564
25	750	604	169	564
26	780	625	166	564
27	810	641	161	574
28	840	599	151	640
29	870	550	134	706
30	900	526	104	739
31	930	522	83	760
32	960	523	71	771
33	990	535	69	775
34	1020	557	68	775
35	1050	567	71	778
36	1080	543	70	817
37	1110	508	65	861
38	1140	479	56	902
39	1170	468	52	933
40	1200	471	47	941
41	1230	482	46	943
42	1260	498	46	943
43	1290	504	46	944
44	1320	502	47	963
45	1350	467	44	1015
46	1380	436	47	1060
47	1410	409	46	1092
48	1440	391	49	1111
49	1470	397	46	1118
50	1500	413	46	1118
51	1530	423	47	1118
52	1560	434	46	1119
53	1590	416	43	1149
54	1620	371	42	1202
55	1650	337	42	1239
56	1680	328	42	1253
57	1710	338	43	1259
58	1740	348	43	1261
59	1770	360	43	1261
60	1800	373	43	1261
61	1830	373	42	1270
62	1860	355	42	1294
63	1890	315	45	1336
64	1920	302	43	1355
65	1950	297	42	1368
66	1980	303	39	1371
67	2010	318	39	1372
68	2040	329	38	1372
69	2070	335	38	1375
70	2100	318	38	1401
71	2130	298	39	1426
72	2160	283	41	1446
73	2190	270	39	1464
74	2220	271	36	1468
75	2250	277	35	1469
76	2280	289	35	1469
77	2310	304	36	1469
78	2340	308	38	1479
79	2370	292	40	1509
80	2400	275	36	1537
81	2430	264	31	1563
82	2460	266	32	1571
83	2490	264	31	1575
84	2520	277	32	1575
85	2550	281	32	1575
86	2580	287	32	1578
87	2610	274	31	1606
88	2640	253	37	1631
89	2670	244	32	1650
90	2700	235	30	1666
91	2730	238	29	1671
92	2760	242	29	1671
93	2790	253	30	1671
94	2820	260	31	1672
95	2850	260	31	1681
96	2880	241	30	1708
97	2910	223	31	1728
98	2940	212	34	1741
99	2970	215	35	1744
100	3000	222	34	1744
101	3030	224	35	1745
102	3060	232	36	1745
103	3090	241	36	1747
104	3120	230	37	1767
105	3150	212	31	1790
106	3180	204	34	1806
107	3210	199	35	1812
108	3240	204	34	1814
109	3270	219	33	1814
110	3300	222	34	1814
111	3330	231	33	1815
112	3360	230	32	1825
113	3390	216	32	1846
114	3420	189	31	1874
115	3450	179	26	1891
116	3480	179	23	1894
117	3510	179	24	1897
118	3540	184	22	1897
119	3570	188	21	1897
120	3600	198	21	1901
121	3630	186	21	1916
122	3660	172	20	1933
123	3690	162	19	1947
124	3720	159	16	1955
125	3750	158	18	1959
126	3780	164	18	1959
127	3810	169	18	1959
128	3840	178	18	1959
129	3870	168	19	1970
130	3900	155	20	1985
131	3930	146	18	1998
132	3960	136	19	2009
133	3990	138	19	2011
134	4020	142	17	2011
135	4050	148	17	2011
136	4080	149	18	2011
137	4110	154	19	2013
138	4140	148	19	2024
139	4170	140	17	2041
140	4200	138	15	2047
141	4230	138	16	2053
142	4260	137	14	2055
143	4290	140	14	2056
144	4320	145	13	2056
145	4350	146	12	2056
146	4380	135	12	2070
147	4410	125	8	2089
148	4440	125	7	2097
149	4470	119	7	2105
150	4500	124	7	2107
151	4530	131	7	2108
152	4560	136	7	2108
153	4590	140	7	2108
154	4620	138	6	2116
155	4650	128	6	2125
156	4680	118	8	2138
157	4710	110	10	2146
158	4740	104	9	2152
159	4770	107	9	2154
160	4800	108	10	2155
161	4830	109	10	2155
162	4860	112	10	2155
163	4890	114	11	2159
164	4920	106	12	2167
165	4950	105	12	2178
166	4980	100	11	2186
167	5010	99	11	2188
168	5040	100	11	2189
169	5070	104	12	2189
170	5100	107	12	2189
171	5130	107	12	2192
172	5160	96	10	2206
173	5190	84	10	2220
174	5220	80	8	2225
175	5250	78	8	2227
176	5280	80	8	2228
177	5310	79	7	2229
178	5340	78	8	2229
179	5370	82	8	2229
180	5400	82	8	2232
181	5430	75	7	2241
182	5460	73	7	2246
183	5490	70	8	2251
184	5520	68	10	2252
185	5550	71	10	2252
186	5580	73	9	2252
187	5610	75	9	2252
188	5640	77	9	2254
189	5670	70	10	2261
190	5700	68	9	2268
191	5730	64	9	2272
192	5760	66	7	2273
193	5790	67	7	2274
194	5820	71	7	2274
195	5850	74	6	2274
196	5880	78	7	2274
197	5910	81	6	2279
198	5940	72	6	2290
199	5970	66	6	2297
200	6000	67	5	2302
201	6030	70	3	2302
202	6060	72	3	2303
203	6090	75	3	2303
204	6120	77	3	2303
205	6150	76	3	2306
206	6180	64	4	2319
207	6210	58	4	2325
208	6240	57	5	2329
209	6270	53	6	2332
210	6300	53	7	2332
211	6330	54	7	2332
212	6360	57	7	2332
213	6390	60	6	2332
214	6420	57	6	2337
215	6450	45	7	2348
216	6480	43	8	2351
217	6510	40	8	2354
218	6540	42	8	2355
219	6570	43	8	2355
220	6600	46	8	2355
221	6630	47	8	2355
222	6660	46	8	2357
223	6690	45	7	2360
224	6720	43	5	2364
225	6750	40	6	2365
226	6780	41	6	2365
227	6810	41	5	2365
228	6840	43	6	2365
229	6870	44	7	2365
230	6900	47	7	2365
231	6930	40	7	2372
