	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1175	1
2	60	7	1193	22
3	90	42	1100	123
4	120	81	961	252
5	150	111	861	346
6	180	133	790	421
7	210	138	770	460
8	240	139	788	466
9	270	139	817	467
10	300	139	841	469
11	330	139	866	469
12	360	139	898	469
13	390	139	919	469
14	420	139	939	469
15	450	139	966	471
16	480	139	990	476
17	510	139	1032	476
18	540	139	1061	478
19	570	139	1094	467
20	600	139	1130	384
21	630	139	1166	261
22	660	139	1207	163
23	690	139	1233	79
24	720	139	1271	38
25	750	139	1305	31
26	780	139	1324	36
27	810	191	1298	40
28	840	414	1072	74
29	870	582	871	144
30	900	721	701	192
31	930	786	634	220
32	960	813	614	237
33	990	815	629	239
34	1020	815	641	242
35	1050	815	653	240
36	1080	815	669	243
37	1110	815	678	241
38	1140	815	701	240
39	1170	815	718	239
40	1200	815	728	236
41	1230	815	745	236
42	1260	815	767	235
43	1290	815	791	228
44	1320	815	820	226
45	1350	815	838	204
46	1380	815	869	137
47	1410	815	899	82
48	1440	815	920	54
