	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	2	1165	0
2	60	36	1143	11
3	90	134	1035	46
4	120	259	922	77
5	150	360	828	100
6	180	405	815	113
7	210	436	799	117
8	240	444	819	117
9	270	445	846	117
10	300	446	877	117
11	330	449	883	129
12	360	464	797	220
13	390	504	698	293
14	420	549	610	354
15	450	580	570	380
16	480	597	568	390
17	510	600	583	390
18	540	600	597	390
19	570	578	623	390
20	600	495	638	391
21	630	380	636	417
22	660	290	556	505
23	690	245	501	557
24	720	224	460	602
25	750	224	449	619
26	780	223	468	621
27	810	224	478	622
28	840	222	497	622
29	870	212	510	622
30	900	171	518	626
31	930	138	495	667
32	960	107	441	731
33	990	95	413	770
34	1020	100	398	788
35	1050	102	397	799
36	1080	102	411	801
37	1110	102	415	803
38	1140	96	439	803
39	1170	85	456	803
40	1200	67	459	807
41	1230	58	417	858
42	1260	55	386	899
43	1290	55	364	930
44	1320	58	356	943
45	1350	59	359	947
46	1380	59	374	947
47	1410	62	386	947
48	1440	57	397	947
