	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	1	1162
2	60	13	34	1148
3	90	48	139	1040
4	120	74	262	925
5	150	97	363	836
6	180	107	425	790
7	210	107	441	798
8	240	107	446	821
9	270	107	446	845
10	300	107	446	868
11	330	107	447	901
12	360	107	448	917
13	390	107	450	948
14	420	107	451	978
15	450	107	451	1016
16	480	107	451	1038
17	510	107	453	1070
18	540	107	454	1100
19	570	107	433	1157
20	600	107	340	1200
21	630	107	217	1228
22	660	107	107	1265
23	690	107	43	1302
24	720	107	19	1341
25	750	107	14	1380
26	780	107	14	1413
27	810	135	15	1420
28	840	349	55	1204
29	870	554	126	953
30	900	688	185	781
31	930	728	226	725
32	960	739	242	716
33	990	739	246	738
34	1020	739	248	772
35	1050	739	248	799
36	1080	739	247	822
37	1110	739	248	850
38	1140	739	248	873
39	1170	739	249	893
40	1200	739	250	924
41	1230	739	249	953
42	1260	739	251	978
43	1290	739	249	1005
44	1320	739	251	1045
45	1350	739	220	1086
46	1380	739	163	1115
47	1410	739	98	1140
48	1440	739	53	1172
