	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	1	1179	1
2	60	29	1187	8
3	90	126	1098	37
4	120	272	954	67
5	150	383	841	101
6	180	463	777	119
7	210	491	768	122
8	240	502	790	122
9	270	503	814	122
10	300	507	841	122
11	330	513	837	140
12	360	538	773	205
13	390	576	694	271
14	420	605	647	312
15	450	639	622	332
16	480	657	616	343
17	510	666	628	347
18	540	666	647	347
19	570	646	665	347
20	600	569	687	347
21	630	426	685	373
22	660	318	617	445
23	690	251	555	510
24	720	226	529	547
25	750	219	512	573
26	780	220	521	577
27	810	216	543	579
28	840	212	556	579
29	870	193	576	579
30	900	157	587	583
31	930	124	559	629
32	960	98	505	690
33	990	86	476	732
34	1020	79	461	760
35	1050	81	453	777
36	1080	83	464	779
37	1110	83	479	779
38	1140	80	498	779
39	1170	68	517	779
40	1200	57	521	785
41	1230	53	483	833
42	1260	51	449	880
43	1290	51	427	911
44	1320	57	415	931
45	1350	61	418	939
46	1380	60	427	942
47	1410	62	438	942
48	1440	62	449	942
