	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1171	1	2
2	60	1171	14	21
3	90	1089	52	115
4	120	943	91	258
5	150	846	115	355
6	180	779	140	424
7	210	771	143	451
8	240	797	143	460
9	270	808	143	466
10	300	834	143	468
11	330	859	143	470
12	360	883	143	473
13	390	924	143	474
14	420	963	143	474
15	450	987	143	476
16	480	1029	143	478
17	510	1073	143	480
18	540	1107	143	481
19	570	1146	143	470
20	600	1173	143	395
21	630	1202	143	247
22	660	1229	143	145
23	690	1258	143	77
24	720	1301	143	42
25	750	1324	143	40
26	780	1368	144	33
27	810	1351	189	41
28	840	1103	425	82
29	870	889	621	126
30	900	736	759	168
31	930	646	836	208
32	960	616	854	236
33	990	630	855	241
34	1020	646	855	240
35	1050	662	855	241
36	1080	677	855	243
37	1110	693	855	244
38	1140	723	855	242
39	1170	736	855	239
40	1200	766	855	237
41	1230	791	855	238
42	1260	806	855	235
43	1290	822	855	239
44	1320	852	855	232
45	1350	873	855	209
46	1380	904	855	156
47	1410	928	855	114
48	1440	952	855	72
