	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	1	1181
2	60	20	24	1176
3	90	46	118	1099
4	120	81	245	972
5	150	110	348	866
6	180	135	426	796
7	210	143	468	768
8	240	143	478	789
9	270	143	484	810
10	300	143	486	829
11	330	174	489	825
12	360	260	510	741
13	390	315	551	667
14	420	361	582	614
15	450	393	605	576
16	480	400	616	576
17	510	401	619	588
18	540	402	622	603
19	570	402	610	627
20	600	424	533	623
21	630	475	410	582
22	660	528	311	543
23	690	572	249	504
24	720	609	206	473
25	750	617	195	475
26	780	618	189	495
27	810	618	189	506
28	840	618	187	532
29	870	624	169	544
30	900	663	139	520
31	930	713	108	481
32	960	753	88	444
33	990	779	77	430
34	1020	788	77	438
35	1050	790	74	448
36	1080	790	72	469
37	1110	790	70	487
38	1140	793	68	502
39	1170	826	52	485
40	1200	885	43	430
41	1230	925	41	401
42	1260	954	46	385
43	1290	965	48	386
44	1320	966	49	398
45	1350	966	50	412
46	1380	966	49	426
47	1410	966	45	444
48	1440	997	39	436
