	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1159	5	0
2	60	1150	41	14
3	90	1043	141	53
4	120	889	278	100
5	150	802	380	118
6	180	716	455	145
7	210	707	493	147
8	240	723	495	147
9	270	738	497	147
10	300	754	499	157
11	330	708	524	206
12	360	645	558	253
13	390	607	589	293
14	420	571	615	322
15	450	562	629	332
16	480	576	632	332
17	510	598	634	333
18	540	618	632	334
19	570	598	615	369
20	600	537	544	434
21	630	512	410	474
22	660	493	308	505
23	690	484	232	524
24	720	500	185	528
25	750	528	180	528
26	780	543	180	528
27	810	549	179	537
28	840	504	167	589
29	870	470	141	640
30	900	439	116	674
31	930	424	89	701
32	960	430	75	708
33	990	436	72	709
34	1020	448	72	709
35	1050	461	71	711
36	1080	436	70	749
37	1110	396	65	795
38	1140	371	64	828
39	1170	358	59	858
40	1200	345	54	875
41	1230	367	50	878
42	1260	385	50	878
43	1290	395	48	878
44	1320	404	48	888
45	1350	369	45	937
46	1380	335	42	977
47	1410	323	39	996
48	1440	310	37	1012
