	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	3	1165
2	60	19	25	1161
3	90	43	124	1081
4	120	70	255	948
5	150	102	372	837
6	180	121	447	765
7	210	126	470	764
8	240	128	481	777
9	270	128	482	808
10	300	128	482	831
11	330	128	482	854
12	360	128	483	870
13	390	128	483	898
14	420	128	484	923
15	450	159	493	912
16	480	286	518	789
17	510	375	564	675
18	540	435	583	612
19	570	471	588	579
20	600	477	515	589
21	630	477	394	607
22	660	477	277	631
23	690	477	187	644
24	720	477	153	659
25	750	477	143	683
26	780	477	142	698
27	810	477	142	720
28	840	495	146	724
29	870	577	153	652
30	900	668	181	557
31	930	726	196	503
32	960	752	195	495
33	990	764	186	487
34	1020	765	141	502
35	1050	765	119	520
36	1080	765	97	545
37	1110	765	94	557
38	1140	765	89	574
39	1170	765	86	593
40	1200	765	86	618
41	1230	774	85	631
42	1260	848	90	574
43	1290	938	101	492
44	1320	985	108	457
45	1350	1023	110	426
46	1380	1039	105	422
47	1410	1043	85	428
48	1440	1044	64	441
