	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1187	0	0
2	60	1183	33	16
3	90	1091	132	37
4	120	972	251	73
5	150	877	348	100
6	180	825	419	113
7	210	826	446	119
8	240	828	455	119
9	270	852	457	119
10	300	875	459	119
11	330	911	459	119
12	360	933	461	119
13	390	976	462	119
14	420	1012	462	119
15	450	1039	464	119
16	480	1066	464	119
17	510	1096	465	119
18	540	1128	466	119
19	570	1160	460	119
20	600	1188	364	119
21	630	1224	251	119
22	660	1264	156	119
23	690	1292	77	119
24	720	1326	47	119
25	750	1349	41	141
26	780	1156	60	335
27	810	926	116	543
28	840	739	180	692
29	870	652	222	757
30	900	612	247	790
31	930	619	258	793
32	960	640	257	793
33	990	654	259	793
34	1020	675	261	793
35	1050	690	260	793
36	1080	715	258	793
37	1110	736	252	793
38	1140	763	250	793
39	1170	798	249	793
40	1200	821	248	793
41	1230	858	246	793
42	1260	884	242	793
43	1290	900	224	793
44	1320	927	170	793
45	1350	954	109	793
46	1380	968	63	793
47	1410	1000	38	793
48	1440	1026	22	793
