	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	0	0	1162
2	60	32	21	1138
3	90	135	46	1034
4	120	252	80	914
5	150	357	119	801
6	180	415	143	743
7	210	455	151	709
8	240	470	152	733
9	270	472	152	765
10	300	472	152	796
11	330	474	152	812
12	360	479	152	830
13	390	480	152	852
14	420	482	152	869
15	450	482	152	903
16	480	491	152	925
17	510	491	152	954
18	540	494	152	991
19	570	476	152	1019
20	600	392	197	995
21	630	301	357	819
22	660	247	471	680
23	690	220	554	576
24	720	202	606	510
25	750	206	616	500
26	780	210	617	509
27	810	215	617	524
28	840	214	617	539
29	870	210	617	564
30	900	210	617	593
31	930	210	617	617
32	960	208	617	636
33	990	199	617	650
34	1020	200	617	667
35	1050	198	617	688
36	1080	196	617	706
37	1110	197	617	716
38	1140	173	626	733
39	1170	123	721	648
40	1200	86	821	563
41	1230	83	891	490
42	1260	71	946	436
43	1290	64	973	416
44	1320	68	978	417
45	1350	67	978	427
46	1380	67	978	445
47	1410	67	978	463
48	1440	67	978	474
