	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	2	0	1168
2	60	33	14	1149
3	90	134	44	1045
4	120	258	80	906
5	150	353	116	800
6	180	417	130	757
7	210	449	133	743
8	240	455	133	765
9	270	459	133	789
10	300	459	133	819
11	330	459	133	841
12	360	459	133	879
13	390	459	133	907
14	420	461	133	928
15	450	463	133	958
16	480	465	133	989
17	510	466	133	1012
18	540	465	133	1057
19	570	444	133	1083
20	600	367	177	1076
21	630	288	343	897
22	660	230	464	748
23	690	215	548	640
24	720	208	594	579
25	750	225	613	554
26	780	230	614	561
27	810	230	614	585
28	840	232	614	610
29	870	234	614	633
30	900	236	614	649
31	930	236	614	669
32	960	236	614	695
33	990	235	614	712
34	1020	235	614	738
35	1050	237	614	761
36	1080	236	614	785
37	1110	235	614	818
38	1140	200	623	831
39	1170	161	740	728
40	1200	135	882	596
41	1230	104	971	516
42	1260	101	1015	475
43	1290	102	1032	468
44	1320	103	1036	474
45	1350	102	1037	484
46	1380	102	1037	496
47	1410	101	1037	509
48	1440	98	1037	526
