	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	4	1162
2	60	13	33	1157
3	90	54	141	1029
4	120	89	271	890
5	150	123	362	789
6	180	152	420	729
7	210	156	454	716
8	240	156	459	730
9	270	156	460	761
10	300	161	460	781
11	330	198	470	757
12	360	252	498	702
13	390	298	527	648
14	420	333	548	616
15	450	347	567	612
16	480	350	577	620
17	510	351	578	638
18	540	352	576	656
19	570	362	564	665
20	600	422	476	617
21	630	467	360	584
22	660	520	274	533
23	690	542	224	511
24	720	549	194	509
25	750	551	186	524
26	780	552	185	544
27	810	552	185	559
28	840	576	184	554
29	870	633	157	509
30	900	684	136	470
31	930	708	121	458
32	960	726	107	446
33	990	733	97	456
34	1020	734	95	466
35	1050	734	96	479
36	1080	734	95	487
37	1110	764	90	469
38	1140	805	80	453
39	1170	834	68	426
40	1200	853	56	416
41	1230	874	52	415
42	1260	876	51	427
43	1290	876	51	437
44	1320	876	51	449
45	1350	878	51	459
46	1380	913	53	439
47	1410	949	44	417
48	1440	977	45	401
