	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	0	1171	0
2	60	21	1159	20
3	90	130	1066	41
4	120	263	929	70
5	150	365	827	102
6	180	432	761	119
7	210	472	749	124
8	240	480	763	125
9	270	482	788	125
10	300	486	803	125
11	330	486	829	125
12	360	487	853	125
13	390	487	888	125
14	420	488	911	126
15	450	499	885	177
16	480	529	779	282
17	510	580	675	355
18	540	618	612	403
19	570	630	559	448
20	600	548	575	454
21	630	413	593	454
22	660	303	612	454
23	690	227	627	454
24	720	180	653	454
25	750	172	681	454
26	780	170	702	454
27	810	167	726	457
28	840	171	680	513
29	870	178	581	622
30	900	193	519	680
31	930	202	466	735
32	960	203	446	762
33	990	181	461	769
34	1020	132	475	770
35	1050	93	495	770
36	1080	65	520	770
37	1110	57	534	770
38	1140	58	554	770
39	1170	58	582	770
40	1200	59	604	772
41	1230	61	565	826
42	1260	66	507	901
43	1290	70	451	971
44	1320	72	420	1020
45	1350	73	420	1033
46	1380	64	440	1038
47	1410	52	448	1042
48	1440	41	469	1042
