	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	3	2	1190
2	60	24	35	1182
3	90	60	135	1078
4	120	105	242	954
5	150	129	348	851
6	180	151	430	771
7	210	158	473	752
8	240	159	487	767
9	270	159	489	787
10	300	172	493	786
11	330	241	513	729
12	360	298	555	653
13	390	338	585	605
14	420	365	602	576
15	450	377	609	572
16	480	379	613	590
17	510	380	614	618
18	540	380	612	640
19	570	416	599	617
20	600	479	515	562
21	630	527	426	521
22	660	561	326	502
23	690	576	250	506
24	720	580	200	516
25	750	580	184	536
26	780	580	183	555
27	810	591	183	564
28	840	640	171	528
29	870	676	141	498
30	900	710	112	475
31	930	737	103	458
32	960	744	91	477
33	990	745	89	487
34	1020	745	88	510
35	1050	748	88	528
36	1080	777	87	508
37	1110	834	79	468
38	1140	882	69	427
39	1170	911	64	407
40	1200	921	53	424
41	1230	922	54	436
42	1260	923	52	453
43	1290	923	50	468
44	1320	941	50	464
45	1350	978	50	442
46	1380	1018	48	414
47	1410	1045	46	395
48	1440	1063	46	385
