	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	1	1158
2	60	17	29	1155
3	90	41	124	1058
4	120	71	264	918
5	150	109	373	792
6	180	138	433	731
7	210	155	480	694
8	240	157	497	696
9	270	157	501	717
10	300	157	501	740
11	330	157	501	771
12	360	157	505	789
13	390	157	505	819
14	420	157	505	858
15	450	157	507	887
16	480	157	508	910
17	510	157	511	945
18	540	157	514	975
19	570	157	494	1006
20	600	202	421	996
21	630	351	314	851
22	660	477	252	685
23	690	543	220	603
24	720	603	204	525
25	750	626	197	500
26	780	627	194	513
27	810	627	196	528
28	840	627	197	544
29	870	627	194	559
30	900	627	196	571
31	930	627	197	589
32	960	627	196	602
33	990	627	197	609
34	1020	627	194	625
35	1050	627	190	644
36	1080	627	190	663
37	1110	627	189	694
38	1140	633	169	709
39	1170	701	119	652
40	1200	801	87	547
41	1230	885	78	462
42	1260	934	73	410
43	1290	967	69	384
44	1320	974	71	388
45	1350	974	70	405
46	1380	974	69	418
47	1410	974	67	432
48	1440	974	67	440
