	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1188	2	0
2	60	1189	37	15
3	90	1084	146	47
4	120	960	265	76
5	150	831	387	108
6	180	755	457	135
7	210	753	484	136
8	240	774	488	136
9	270	792	493	136
10	300	822	495	136
11	330	832	496	151
12	360	768	521	214
13	390	653	565	302
14	420	596	602	354
15	450	569	623	377
16	480	569	633	384
17	510	590	636	384
18	540	597	635	384
19	570	613	616	384
20	600	623	517	394
21	630	597	391	445
22	660	513	301	514
23	690	473	232	570
24	720	442	206	606
25	750	437	209	618
26	780	445	207	619
27	810	459	204	619
28	840	474	204	619
29	870	501	188	620
30	900	500	142	639
31	930	447	113	702
32	960	389	92	763
33	990	367	84	794
34	1020	367	82	806
35	1050	379	82	811
36	1080	392	82	811
37	1110	410	84	811
38	1140	420	82	811
39	1170	436	60	817
40	1200	397	45	868
41	1230	360	39	919
42	1260	340	29	951
43	1290	332	27	970
44	1320	335	28	974
45	1350	343	28	975
46	1380	352	28	975
47	1410	360	28	975
48	1440	374	25	975
