	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1173	1	3
2	60	1171	13	26
3	90	1082	37	131
4	120	962	69	253
5	150	846	112	351
6	180	763	141	427
7	210	730	154	463
8	240	735	155	476
9	270	754	155	477
10	300	774	155	481
11	330	804	155	484
12	360	826	155	486
13	390	847	155	486
14	420	866	155	488
15	450	887	155	490
16	480	904	155	491
17	510	926	155	493
18	540	947	155	494
19	570	966	155	481
20	600	995	156	393
21	630	988	207	275
22	660	835	364	207
23	690	674	493	172
24	720	601	559	164
25	750	541	606	178
26	780	526	624	186
27	810	538	626	186
28	840	557	626	185
29	870	573	626	184
30	900	596	626	186
31	930	625	626	184
32	960	648	626	183
33	990	684	626	182
34	1020	700	626	181
35	1050	730	626	180
36	1080	750	626	179
37	1110	780	626	177
38	1140	802	626	177
39	1170	826	626	158
40	1200	833	654	105
41	1230	712	788	80
42	1260	600	901	73
43	1290	525	979	74
44	1320	497	1018	80
45	1350	479	1044	87
46	1380	484	1048	85
47	1410	496	1049	84
48	1440	512	1049	86
