	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	1	2	1165
2	60	13	22	1169
3	90	45	117	1079
4	120	80	248	941
5	150	107	356	838
6	180	130	430	766
7	210	144	461	747
8	240	144	474	763
9	270	144	478	779
10	300	144	482	810
11	330	144	483	831
12	360	144	487	837
13	390	144	489	868
14	420	144	489	890
15	450	144	490	911
16	480	144	492	940
17	510	144	492	977
18	540	144	492	1017
19	570	144	482	1051
20	600	194	413	1019
21	630	342	321	874
22	660	476	245	720
23	690	548	209	632
24	720	610	192	561
25	750	634	194	546
26	780	640	191	547
27	810	640	189	573
28	840	640	188	594
29	870	641	194	604
30	900	641	190	623
31	930	641	193	642
32	960	641	194	662
33	990	641	192	679
34	1020	641	195	696
35	1050	641	193	721
36	1080	641	195	738
37	1110	641	190	756
38	1140	651	161	772
39	1170	760	125	677
40	1200	879	94	552
41	1230	949	83	496
42	1260	990	79	458
43	1290	1011	83	442
44	1320	1021	86	435
45	1350	1022	87	448
46	1380	1022	88	457
47	1410	1022	81	472
48	1440	1022	82	475
