	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1179	0
2	60	9	1182	26
3	90	27	1092	127
4	120	56	966	254
5	150	84	853	364
6	180	105	783	431
7	210	114	778	460
8	240	115	797	472
9	270	127	805	476
10	300	179	766	493
11	330	237	703	521
12	360	265	650	563
13	390	285	623	587
14	420	301	611	601
15	450	301	630	612
16	480	301	639	617
17	510	310	645	620
18	540	347	618	626
19	570	392	583	624
20	600	427	562	544
21	630	450	562	413
22	660	456	574	308
23	690	457	589	241
24	720	458	605	207
25	750	498	594	191
26	780	550	551	198
27	810	586	527	195
28	840	618	513	167
29	870	634	506	131
30	900	638	518	107
31	930	639	536	94
32	960	647	547	83
33	990	693	512	83
34	1020	745	473	81
35	1050	775	458	76
36	1080	790	454	70
37	1110	796	457	68
38	1140	797	471	61
39	1170	797	489	57
40	1200	817	484	55
41	1230	852	460	50
42	1260	883	439	54
43	1290	906	425	51
44	1320	928	413	48
45	1350	934	426	45
46	1380	935	443	38
47	1410	938	466	35
48	1440	960	457	36
