	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1165	1	0
2	60	1150	31	11
3	90	1056	134	37
4	120	932	255	78
5	150	832	348	106
6	180	780	418	124
7	210	769	445	129
8	240	772	457	137
9	270	743	475	177
10	300	682	508	229
11	330	643	537	265
12	360	610	571	288
13	390	611	583	297
14	420	631	590	297
15	450	633	594	312
16	480	600	607	357
17	510	561	620	402
18	540	543	627	426
19	570	541	614	440
20	600	553	528	440
21	630	568	402	443
22	660	546	312	483
23	690	519	235	527
24	720	490	211	559
25	750	480	202	582
26	780	487	197	592
27	810	504	170	593
28	840	509	138	599
29	870	496	105	622
30	900	465	95	658
31	930	443	94	687
32	960	435	90	700
33	990	449	80	704
34	1020	476	72	704
35	1050	471	60	724
36	1080	430	61	771
37	1110	418	61	796
38	1140	413	64	809
39	1170	413	65	822
40	1200	430	63	822
41	1230	443	54	827
42	1260	422	49	855
43	1290	402	46	877
44	1320	395	46	899
45	1350	401	45	914
46	1380	405	43	919
47	1410	410	40	921
48	1440	402	37	941
