	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	3	1165
2	60	15	25	1156
3	90	55	139	1035
4	120	85	259	908
5	150	108	348	825
6	180	134	419	755
7	210	141	460	727
8	240	145	465	746
9	270	145	468	763
10	300	145	477	785
11	330	145	479	805
12	360	177	482	799
13	390	264	498	722
14	420	331	544	635
15	450	375	578	584
16	480	399	597	562
17	510	404	606	567
18	540	407	605	584
19	570	407	598	594
20	600	407	498	613
21	630	407	386	624
22	660	428	279	620
23	690	490	214	579
24	720	562	182	508
25	750	597	178	476
26	780	628	183	458
27	810	631	176	463
28	840	631	175	474
29	870	632	173	484
30	900	632	159	506
31	930	632	115	520
32	960	647	82	516
33	990	710	71	454
34	1020	746	68	420
35	1050	791	68	389
36	1080	819	70	375
37	1110	832	69	372
38	1140	833	69	380
39	1170	833	68	388
40	1200	833	62	399
41	1230	833	48	425
42	1260	839	42	430
43	1290	887	38	396
44	1320	936	40	360
45	1350	965	45	335
46	1380	994	47	312
47	1410	1006	49	302
48	1440	1007	48	307
