	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1167	0	1
2	60	1167	13	32
3	90	1055	43	146
4	120	916	83	279
5	150	812	120	366
6	180	754	139	429
7	210	742	146	466
8	240	748	146	480
9	270	763	153	483
10	300	705	214	502
11	330	665	260	528
12	360	602	305	567
13	390	576	323	596
14	420	571	332	602
15	450	580	336	610
16	480	597	337	610
17	510	606	354	610
18	540	567	407	613
19	570	535	445	609
20	600	511	474	532
21	630	500	493	398
22	660	509	499	297
23	690	532	499	230
24	720	549	499	190
25	750	540	527	175
26	780	493	587	177
27	810	472	614	169
28	840	460	631	146
29	870	471	642	105
30	900	486	646	76
31	930	500	646	67
32	960	504	660	61
33	990	465	712	64
34	1020	435	751	66
35	1050	420	781	70
36	1080	411	806	60
37	1110	415	812	51
38	1140	427	814	41
39	1170	437	815	41
40	1200	429	834	38
41	1230	393	881	41
42	1260	380	906	43
43	1290	398	921	41
44	1320	401	928	42
45	1350	406	931	39
46	1380	418	931	39
47	1410	425	933	38
48	1440	416	966	36
