	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	1	1181	1
2	60	17	1169	31
3	90	37	1078	131
4	120	75	941	257
5	150	99	856	347
6	180	110	799	413
7	210	116	779	451
8	240	120	803	457
9	270	151	773	474
10	300	192	716	509
11	330	235	651	550
12	360	270	598	580
13	390	283	584	600
14	420	286	597	609
15	450	287	610	611
16	480	324	580	616
17	510	363	541	634
18	540	400	519	641
19	570	422	505	629
20	600	439	487	560
21	630	440	500	443
22	660	442	519	339
23	690	466	503	266
24	720	502	475	231
25	750	536	442	232
26	780	562	417	230
27	810	570	420	199
28	840	572	439	158
29	870	580	444	127
30	900	605	429	103
31	930	638	404	99
32	960	652	397	100
33	990	661	399	101
34	1020	666	404	83
35	1050	666	412	77
36	1080	669	425	68
37	1110	697	412	58
38	1140	715	408	58
39	1170	744	389	59
40	1200	757	383	57
41	1230	762	389	57
42	1260	763	400	48
43	1290	770	403	38
44	1320	798	385	41
45	1350	823	363	41
46	1380	838	364	41
47	1410	858	354	44
48	1440	860	366	42
