	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	1	1184	1
2	60	18	1168	30
3	90	50	1076	127
4	120	86	952	240
5	150	120	851	351
6	180	142	760	442
7	210	144	728	485
8	240	149	731	494
9	270	155	762	495
10	300	188	735	520
11	330	264	660	548
12	360	314	605	577
13	390	348	569	603
14	420	361	559	621
15	450	362	583	629
16	480	362	596	631
17	510	378	599	634
18	540	422	570	638
19	570	475	527	630
20	600	503	509	553
21	630	526	499	448
22	660	533	513	336
23	690	534	543	244
24	720	534	553	188
25	750	555	540	180
26	780	599	501	184
27	810	636	478	172
28	840	662	469	143
29	870	682	460	117
30	900	683	480	88
31	930	683	494	71
32	960	690	499	60
33	990	727	472	62
34	1020	765	437	69
35	1050	793	417	69
36	1080	810	405	68
37	1110	819	404	59
38	1140	821	417	51
39	1170	822	432	49
40	1200	833	433	47
41	1230	866	410	49
42	1260	892	395	48
43	1290	917	379	47
44	1320	935	376	43
45	1350	937	379	45
46	1380	938	398	46
47	1410	938	409	43
48	1440	962	399	45
