	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	4	2	1156
2	60	31	17	1145
3	90	118	49	1056
4	120	235	72	948
5	150	340	96	849
6	180	406	108	790
7	210	426	110	787
8	240	430	110	817
9	270	433	110	840
10	300	437	110	867
11	330	438	110	892
12	360	441	110	920
13	390	445	110	950
14	420	447	110	992
15	450	451	110	1006
16	480	453	110	1042
17	510	454	136	1062
18	540	473	274	931
19	570	510	411	771
20	600	486	497	657
21	630	401	556	600
22	660	304	571	590
23	690	238	572	601
24	720	212	572	607
25	750	208	572	626
26	780	205	572	640
27	810	201	572	675
28	840	201	572	709
29	870	202	572	729
30	900	201	572	752
31	930	201	572	775
32	960	198	572	802
33	990	198	612	781
34	1020	216	739	655
35	1050	229	849	535
36	1080	197	900	485
37	1110	147	921	473
38	1140	124	927	480
39	1170	109	927	487
40	1200	103	928	502
41	1230	99	928	526
42	1260	98	928	547
43	1290	99	928	572
44	1320	99	928	590
45	1350	100	928	605
46	1380	97	928	628
47	1410	97	928	653
48	1440	95	938	674
