	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1168	0	1
2	60	1152	26	12
3	90	1033	134	51
4	120	919	246	78
5	150	823	345	98
6	180	755	414	117
7	210	736	453	120
8	240	755	460	120
9	270	779	461	120
10	300	770	465	137
11	330	696	490	216
12	360	627	520	277
13	390	576	547	323
14	420	538	571	361
15	450	530	587	372
16	480	538	590	376
17	510	552	591	376
18	540	573	593	379
19	570	558	586	404
20	600	517	492	454
21	630	489	390	487
22	660	469	294	511
23	690	456	231	530
24	720	476	187	530
25	750	493	176	531
26	780	499	176	531
27	810	506	174	540
28	840	470	156	588
29	870	436	134	638
30	900	414	112	669
31	930	408	90	686
32	960	412	76	694
33	990	417	71	698
34	1020	430	71	698
35	1050	448	69	698
36	1080	451	66	717
37	1110	414	67	764
38	1140	390	64	790
39	1170	369	54	815
40	1200	368	52	827
41	1230	378	51	829
42	1260	400	48	829
43	1290	408	48	829
44	1320	410	48	840
45	1350	383	51	876
46	1380	354	49	909
47	1410	342	44	935
48	1440	332	43	951
