	time	total_volume	cell_type	cycle_model	current_phase	elapsed_time_in_phase	nuclear_volume	cytoplasmic_volume	fluid_fraction	calcified_fraction	x_orientation	x_orientation	y_orientation	x_orientation	x_orientation	polarity	migration_speed	x_motility_vector	x_motility_vector	y_motility_vector	x_motility_vector	x_motility_vector	migration_bias	x_motility_bias_direction	x_motility_bias_direction	y_motility_bias_direction	x_motility_bias_direction	x_motility_bias_direction	persistence_time	motility_reserved	next_physiboss_run	TNFR_binding_rate	TNFR_endocytosis_rate	TNFR_recycling_rate	TNFR_activation_threshold	TNFR_receptors_per_cell	TFN_net_production_rate	tnf_node	fadd_node	nfkb_node	external_tnf	unbound_external_TNFR	bound_external_TNFR	bound_internal_TNFR
0	0	2494.0	0.0	5.0	14.0	12.869590997363787	540.0	1954.0	0.75	0.0	0.012812414773005614	-0.0066948750535900225	0.027873191225858605	0.012812414773005614	-0.0066948750535900225	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	10.099318984327985	0.15000000000000316	0.2900000000000026	0.7000000000000111	0.5	1.0	0.0	0.0	0.5175746924428822	0.0	0.0	1.0	0.0	0.0
1	30	2427.0974207424174	0.0	5.0	14.0	41.1361869957263	525.6070871221687	1901.490333620251	0.7494673793503744	0.0	0.013256829533217232	-0.007245126384525345	0.023471275848616212	0.013256829533217232	-0.007245126384525345	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	33.958422306036645	0.15000000000000324	0.2900000000000031	0.7000000000000121	0.5	1.0	0.0	0.5512820512820513	0.5196581196581197	0.04358974358974359	0.0	0.2125452035292761	0.535418096709372	0.2520366997613513
2	60	2359.730336321742	0.0	5.0	14.0	67.93297463699405	511.37350676658326	1848.3568295551565	0.7478863396151189	0.0	0.013839297122292992	-0.008026099269976236	0.024030200230292856	0.013839297122292992	-0.008026099269976236	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	63.66420007555445	0.15000000000000321	0.29000000000000287	0.7000000000000117	0.5	1.0	0.0	0.4857389801210026	0.5108038029386344	0.25583405358686256	0.0	0.13020009250391015	0.6070872942842112	0.262712613211877
3	90	2297.768956618296	0.0	5.0	14.0	93.19315456296982	498.51193766662345	1799.2570189516746	0.7458139771982688	0.0	0.018039588297739603	-0.008995335999897268	0.027251323480536056	0.018039588297739603	-0.008995335999897268	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	93.94985677268376	0.150000000000003	0.2900000000000013	0.7000000000000087	0.5	1.0	0.0	0.5122180451127819	0.4708646616541353	0.3543233082706767	0.0	0.22532134678088234	0.5302825344724692	0.24439611874664804
4	120	2258.1012310791357	0.0	5.0	14.0	117.44016210214555	490.4754075488506	1767.6258235302853	0.7443195054606285	0.0	0.020393036111985223	-0.02337691688970212	0.025326153264968013	0.020393036111985223	-0.02337691688970212	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	123.78453232252322	0.1500000000000026	0.2899999999999986	0.7000000000000034	0.5	1.0	0.0	0.5129032258064516	0.4021505376344086	0.4010752688172043	0.0	0.25893454339062694	0.5231937642720346	0.21787169233733786
5	150	2208.9576358691565	0.0	5.0	14.0	139.70440588968094	480.422902698275	1728.5347331708836	0.7426704426865672	0.0	0.017532647962572947	-0.01284905668725906	0.028902316029379854	0.017532647962572947	-0.01284905668725906	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	153.68212524445062	0.1500000000000023	0.28999999999999765	0.6999999999999991	0.5	1.0	0.0	0.0	0.3404507710557533	0.4211150652431791	0.0	0.449780245386988	0.3868442351034608	0.16337551950955048
6	180	2171.6421785605507	0.0	5.0	14.0	160.7593390951897	473.1425509311678	1698.499627629382	0.7407533284381256	0.0	0.03375062984366025	-0.014275924035475337	0.012458307681653982	0.03375062984366025	-0.014275924035475337	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	183.76028211548345	0.15000000000000185	0.2899999999999984	0.6999999999999931	0.5	1.0	0.0	0.0	0.2667560321715818	0.2587131367292225	0.0	0.6508825270151122	0.2449244783768144	0.10419299460807303
7	210	2130.8403543366826	0.0	5.0	14.0	179.20550908025018	465.03095013677284	1665.8094041999097	0.7392943452364333	0.0	0.017429512634992775	-0.02718093781442192	0.007449677957117616	0.017429512634992775	-0.02718093781442192	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	213.78578631679412	0.15000000000000174	0.2899999999999986	0.699999999999992	0.5	1.0	0.0	0.0	0.22406639004149378	0.07468879668049792	0.0	0.8105870732785161	0.1326038515702799	0.05680907515120325
8	240	2095.013810763393	0.0	5.0	14.0	196.203744563481	457.96569956997286	1637.048111193419	0.738061225711454	0.0	0.01189166975417634	-0.027165699929334375	0.007516361772601617	0.01189166975417634	-0.027165699929334375	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	243.9033350965926	0.1500000000000018	0.28999999999999854	0.6999999999999921	0.5	1.0	0.0	0.0	0.208731241473397	0.023192360163710776	0.0	0.9083732191588579	0.06406739259255295	0.027559388248588564
9	270	2077.5107528316653	0.0	5.0	14.0	214.5739912983086	454.82970151260275	1622.6810513190665	0.736903188965456	0.0	0.01443811286372986	-0.0232651933950785	0.010374881593212369	0.01443811286372986	-0.0232651933950785	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	273.87008091697504	0.15000000000000188	0.28999999999999837	0.6999999999999934	0.5	1.0	0.0	0.4434087882822903	0.20639147802929428	0.002663115845539281	0.0	0.10755667617315813	0.6365202205913046	0.2559231032355366
