	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	4	1159	1
2	60	33	1153	17
3	90	132	1055	48
4	120	261	913	74
5	150	356	805	109
6	180	420	737	135
7	210	455	731	139
8	240	469	740	141
9	270	473	764	141
10	300	476	788	141
11	330	478	810	141
12	360	481	834	141
13	390	482	855	141
14	420	482	882	141
15	450	483	914	141
16	480	486	940	141
17	510	487	976	141
18	540	489	999	141
19	570	477	1024	142
20	600	397	1010	181
21	630	289	859	333
22	660	230	712	470
23	690	193	618	553
24	720	174	557	611
25	750	171	541	636
26	780	170	556	638
27	810	169	578	638
28	840	169	601	638
29	870	164	619	638
30	900	164	635	638
31	930	164	653	638
32	960	164	670	638
33	990	162	692	638
34	1020	161	723	638
35	1050	156	746	638
36	1080	155	773	638
37	1110	151	793	638
38	1140	135	816	649
39	1170	91	737	747
40	1200	76	623	865
41	1230	79	514	968
42	1260	80	458	1023
43	1290	82	449	1045
44	1320	83	454	1048
45	1350	85	472	1048
46	1380	86	491	1048
47	1410	86	510	1048
48	1440	86	522	1048
