	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1170	0	1
2	60	1180	10	25
3	90	1081	38	125
4	120	927	76	272
5	150	837	105	358
6	180	750	134	435
7	210	729	142	470
8	240	743	143	478
9	270	761	144	479
10	300	768	157	480
11	330	725	201	497
12	360	664	253	531
13	390	604	308	554
14	420	577	335	582
15	450	563	348	603
16	480	582	350	609
17	510	599	350	610
18	540	624	351	609
19	570	606	382	598
20	600	551	448	517
21	630	510	499	390
22	660	491	529	303
23	690	481	553	218
24	720	493	557	183
25	750	507	558	172
26	780	524	558	172
27	810	538	563	171
28	840	519	604	164
29	870	475	652	138
30	900	453	681	118
31	930	452	705	93
32	960	456	715	78
33	990	472	717	74
34	1020	491	717	72
35	1050	514	718	73
36	1080	507	735	71
37	1110	462	791	66
38	1140	433	831	68
39	1170	421	855	60
40	1200	425	869	56
41	1230	430	871	56
42	1260	445	873	55
43	1290	466	873	55
44	1320	477	876	55
45	1350	435	929	59
46	1380	390	982	56
47	1410	365	1010	55
48	1440	358	1027	53
