	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1188	2
2	60	5	1189	26
3	90	43	1096	124
4	120	83	968	240
5	150	105	872	342
6	180	124	812	417
7	210	132	793	444
8	240	133	807	449
9	270	133	819	454
10	300	136	844	457
11	330	204	790	475
12	360	282	711	505
13	390	336	644	535
14	420	377	595	560
15	450	388	590	574
16	480	388	620	577
17	510	388	634	580
18	540	388	655	579
19	570	404	663	567
20	600	471	618	490
21	630	541	561	377
22	660	581	527	302
23	690	609	507	218
24	720	617	514	191
25	750	618	530	184
26	780	618	541	179
27	810	618	565	175
28	840	640	555	164
29	870	708	503	137
30	900	746	479	115
31	930	783	457	94
32	960	795	459	80
33	990	800	466	79
34	1020	802	478	79
35	1050	802	491	78
36	1080	804	502	74
37	1110	835	484	72
38	1140	889	435	70
39	1170	931	403	63
40	1200	946	399	52
41	1230	952	401	50
42	1260	955	411	51
43	1290	955	423	50
44	1320	955	442	53
45	1350	963	456	56
46	1380	1008	424	52
47	1410	1052	388	49
48	1440	1078	375	43
