	time	tnf
0	0	0.0
1	30	5077.580271407186
2	60	2223.9948452473113
3	90	973.5503978168105
4	120	425.7522476040294
5	150	186.0046984765855
6	180	81.17961982426607
7	210	8104.282921694054
8	240	3550.8260248433307
9	270	1555.2744828060656
10	300	680.8207185658063
11	330	297.8189761616553
12	360	130.16191778447833
13	390	56.838198053204415
14	420	5675.0896741250845
15	450	2486.200862217236
16	480	1088.8181820158773
17	510	476.5635130656488
18	540	208.43517388551044
19	570	91.08728818037113
20	600	7828.57282463373
21	630	3968.8265398816484
22	660	1738.473150760433
23	690	761.2054711146595
24	720	333.1233661542271
25	750	145.6782903128907
26	780	63.66208912991398
27	810	6335.162295964723
28	840	2775.382500443868
29	870	1215.5216908744064
30	900	532.1250372822462
31	930	232.82367156544737
32	960	101.79985525005895
33	990	7381.197897050984
34	1020	4430.432592822758
35	1050	1940.6595998349492
36	1080	849.7937071916658
37	1110	371.96307562068847
38	1140	162.71464873223377
39	1170	71.13648582548653
40	1200	7071.942247922135
41	1230	3098.1623058910614
42	1260	1356.9063426426844
43	1290	594.0790667428798
44	1320	259.9821371384233
45	1350	113.70926202206432
46	1380	6406.688746465738
47	1410	4945.7566197037695
48	1440	2166.3698757377224
