	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	3	1166
2	60	8	28	1164
3	90	47	141	1061
4	120	76	266	926
5	150	104	374	809
6	180	126	455	725
7	210	133	497	694
8	240	134	507	704
9	270	134	511	724
10	300	145	514	737
11	330	189	536	696
12	360	253	578	614
13	390	290	609	568
14	420	306	628	551
15	450	315	639	546
16	480	316	642	561
17	510	316	642	577
18	540	316	640	595
19	570	345	629	573
20	600	403	539	526
21	630	439	432	489
22	660	464	337	457
23	690	480	256	461
24	720	483	208	475
25	750	483	195	490
26	780	484	193	512
27	810	496	191	519
28	840	543	176	486
29	870	590	146	449
30	900	614	129	435
31	930	636	110	426
32	960	648	105	421
33	990	648	100	434
34	1020	648	100	443
35	1050	648	99	467
36	1080	673	99	455
37	1110	727	97	411
38	1140	763	90	380
39	1170	787	72	363
40	1200	798	64	360
41	1230	799	63	365
42	1260	800	62	378
43	1290	800	60	389
44	1320	813	60	395
45	1350	856	58	355
46	1380	885	56	328
47	1410	903	47	324
48	1440	917	43	311
