	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	1	0	1173
2	60	24	17	1177
3	90	135	54	1058
4	120	268	90	921
5	150	375	115	827
6	180	457	137	743
7	210	490	149	713
8	240	497	149	729
9	270	503	151	753
10	300	509	191	735
11	330	536	252	665
12	360	585	299	587
13	390	620	334	537
14	420	636	349	521
15	450	637	351	540
16	480	638	354	553
17	510	640	357	559
18	540	644	389	538
19	570	646	432	500
20	600	567	465	466
21	630	446	482	456
22	660	334	491	459
23	690	254	495	475
24	720	213	496	490
25	750	203	499	502
26	780	202	543	475
27	810	204	588	437
28	840	185	611	425
29	870	143	636	407
30	900	105	643	413
31	930	90	645	428
32	960	87	645	447
33	990	88	649	451
34	1020	87	689	433
35	1050	87	730	406
36	1080	78	757	390
37	1110	61	775	387
38	1140	51	783	386
39	1170	44	786	402
40	1200	41	787	408
41	1230	40	800	405
42	1260	41	843	373
43	1290	44	870	355
44	1320	43	884	347
45	1350	41	899	343
46	1380	40	901	342
47	1410	37	901	360
48	1440	34	901	366
