	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1168	0	2
2	60	1163	12	26
3	90	1052	38	135
4	120	948	72	237
5	150	835	105	335
6	180	745	125	423
7	210	724	130	453
8	240	737	130	460
9	270	760	130	461
10	300	782	131	461
11	330	805	131	464
12	360	826	131	465
13	390	856	131	466
14	420	891	131	467
15	450	875	165	473
16	480	757	278	503
17	510	646	376	543
18	540	567	437	576
19	570	525	473	585
20	600	530	477	504
21	630	551	478	392
22	660	567	478	293
23	690	588	478	213
24	720	609	478	168
25	750	632	478	157
26	780	653	478	157
27	810	664	478	160
28	840	665	495	158
29	870	578	585	172
30	900	508	667	179
31	930	458	723	190
32	960	442	749	196
33	990	461	752	177
34	1020	473	754	137
35	1050	492	754	105
36	1080	514	754	74
37	1110	525	754	63
38	1140	542	754	59
39	1170	560	754	57
40	1200	585	754	58
41	1230	591	763	58
42	1260	546	819	62
43	1290	467	902	71
44	1320	423	947	81
45	1350	392	981	89
46	1380	394	990	79
47	1410	410	992	70
48	1440	423	992	63
