	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	0	1189	2
2	60	11	1194	25
3	90	61	1073	124
4	120	91	933	261
5	150	115	856	354
6	180	137	770	439
7	210	144	752	474
8	240	149	755	482
9	270	149	773	486
10	300	178	764	490
11	330	257	667	524
12	360	308	598	551
13	390	336	565	574
14	420	357	542	593
15	450	359	555	606
16	480	359	571	608
17	510	359	588	610
18	540	384	582	613
19	570	436	543	608
20	600	470	514	536
21	630	502	499	398
22	660	518	489	307
23	690	522	495	227
24	720	522	505	177
25	750	522	520	169
26	780	540	517	166
27	810	567	505	168
28	840	601	480	147
29	870	632	464	126
30	900	653	454	102
31	930	659	449	89
32	960	661	462	76
33	990	661	491	75
34	1020	681	480	77
35	1050	716	465	77
36	1080	757	434	74
37	1110	775	422	70
38	1140	792	408	65
39	1170	795	418	58
40	1200	796	424	56
41	1230	796	434	55
42	1260	815	436	56
43	1290	850	404	63
44	1320	879	376	68
45	1350	903	366	66
46	1380	915	367	61
47	1410	921	371	58
48	1440	922	381	53
