	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	2	0	1184
2	60	10	29	1171
3	90	41	126	1082
4	120	77	237	965
5	150	102	339	867
6	180	121	422	793
7	210	133	449	778
8	240	135	460	790
9	270	135	464	806
10	300	159	470	805
11	330	220	499	743
12	360	279	525	677
13	390	324	559	622
14	420	356	575	597
15	450	371	579	601
16	480	376	587	612
17	510	376	589	627
18	540	388	592	633
19	570	442	580	591
20	600	496	511	544
21	630	533	412	510
22	660	550	307	509
23	690	562	227	500
24	720	563	192	517
25	750	564	184	543
26	780	571	176	556
27	810	600	175	532
28	840	652	165	489
29	870	684	151	456
30	900	705	115	456
31	930	717	98	463
32	960	720	94	477
33	990	721	88	490
34	1020	724	87	504
35	1050	758	87	487
36	1080	797	84	460
37	1110	833	82	443
38	1140	862	73	425
39	1170	875	68	414
40	1200	879	64	427
41	1230	879	61	435
42	1260	880	62	449
43	1290	905	64	436
44	1320	943	63	406
45	1350	973	64	377
46	1380	998	57	361
47	1410	1016	55	352
48	1440	1019	56	359
