	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	2	1172
2	60	11	27	1168
3	90	47	130	1072
4	120	71	252	957
5	150	97	357	861
6	180	106	426	811
7	210	110	452	801
8	240	110	459	820
9	270	110	460	835
10	300	110	460	863
11	330	129	467	868
12	360	216	500	783
13	390	282	537	698
14	420	322	590	621
15	450	357	616	574
16	480	367	634	569
17	510	367	639	585
18	540	367	638	607
19	570	367	622	640
20	600	370	534	655
21	630	422	416	619
22	660	491	325	552
23	690	549	263	489
24	720	584	237	451
25	750	593	237	459
26	780	598	238	464
27	810	598	238	481
28	840	598	235	493
29	870	599	210	513
30	900	618	172	502
31	930	664	126	468
32	960	703	109	430
33	990	728	100	414
34	1020	744	98	410
35	1050	748	97	412
36	1080	750	98	418
37	1110	750	99	430
38	1140	750	96	444
39	1170	756	82	458
40	1200	797	69	427
41	1230	838	66	392
42	1260	875	65	363
43	1290	894	67	345
44	1320	902	69	350
45	1350	902	72	362
46	1380	902	73	373
47	1410	902	69	385
48	1440	902	63	402
