	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	1	4	1172
2	60	16	32	1166
3	90	53	139	1059
4	120	78	252	945
5	150	109	362	832
6	180	132	434	761
7	210	143	468	745
8	240	144	484	750
9	270	144	490	762
10	300	146	490	800
11	330	200	496	764
12	360	261	525	692
13	390	303	564	629
14	420	335	595	582
15	450	363	620	547
16	480	370	637	538
17	510	371	637	558
18	540	371	636	570
19	570	371	620	590
20	600	403	530	582
21	630	472	419	510
22	660	522	325	463
23	690	546	252	451
24	720	561	217	449
25	750	569	200	451
26	780	573	197	459
27	810	573	195	473
28	840	575	195	480
29	870	601	170	467
30	900	649	132	432
31	930	701	105	389
32	960	723	86	376
33	990	741	66	366
34	1020	748	69	364
35	1050	749	70	368
36	1080	749	69	382
37	1110	751	69	389
38	1140	767	60	385
39	1170	804	49	352
40	1200	837	46	331
41	1230	860	40	309
42	1260	879	38	296
43	1290	880	39	297
44	1320	881	41	299
45	1350	881	40	314
46	1380	884	40	314
47	1410	901	37	305
48	1440	929	33	287
