	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1179	0	0
2	60	1166	29	20
3	90	1059	139	50
4	120	926	258	82
5	150	821	360	116
6	180	746	439	140
7	210	715	488	150
8	240	723	499	151
9	270	744	501	151
10	300	761	503	151
11	330	793	504	151
12	360	820	505	151
13	390	871	505	151
14	420	892	505	151
15	450	915	505	151
16	480	946	505	151
17	510	979	506	151
18	540	1001	507	151
19	570	1021	486	151
20	600	995	410	202
21	630	860	309	340
22	660	713	250	474
23	690	616	204	544
24	720	549	184	604
25	750	537	181	616
26	780	546	180	617
27	810	559	180	617
28	840	585	182	617
29	870	617	181	617
30	900	631	182	617
31	930	672	182	617
32	960	690	182	617
33	990	702	186	617
34	1020	733	189	617
35	1050	759	187	617
36	1080	786	186	617
37	1110	812	183	617
38	1140	831	158	628
39	1170	742	134	738
40	1200	622	108	857
41	1230	520	89	954
42	1260	475	88	1000
43	1290	461	100	1023
44	1320	470	101	1026
45	1350	478	100	1027
46	1380	493	100	1027
47	1410	518	100	1027
48	1440	531	99	1027
