	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	4	0	1175
2	60	34	12	1174
3	90	117	43	1090
4	120	250	77	965
5	150	358	109	852
6	180	429	125	782
7	210	455	128	781
8	240	467	129	799
9	270	468	129	823
10	300	470	132	852
11	330	482	180	826
12	360	523	255	735
13	390	564	307	666
14	420	612	346	602
15	450	634	367	591
16	480	641	369	600
17	510	645	369	620
18	540	642	369	629
19	570	622	372	650
20	600	557	429	604
21	630	430	497	545
22	660	345	555	483
23	690	272	588	453
24	720	248	599	454
25	750	237	600	471
26	780	236	600	484
27	810	235	600	497
28	840	225	606	511
29	870	193	653	475
30	900	156	705	436
31	930	110	745	407
32	960	91	771	391
33	990	89	773	398
34	1020	82	773	405
35	1050	85	773	415
36	1080	87	773	429
37	1110	82	784	436
38	1140	76	826	406
39	1170	62	860	387
40	1200	52	882	370
41	1230	50	903	358
42	1260	46	912	362
43	1290	44	912	369
44	1320	45	913	379
45	1350	46	913	391
46	1380	45	922	398
47	1410	46	952	376
48	1440	40	993	344
