	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	0	1179
2	60	4	25	1177
3	90	37	110	1094
4	120	75	240	959
5	150	99	333	867
6	180	119	406	800
7	210	125	437	785
8	240	126	444	801
9	270	137	444	822
10	300	191	467	758
11	330	244	504	689
12	360	284	539	627
13	390	313	578	581
14	420	324	599	564
15	450	327	602	577
16	480	328	602	593
17	510	338	606	603
18	540	391	618	577
19	570	426	618	548
20	600	451	563	521
21	630	468	458	516
22	660	474	355	523
23	690	474	273	539
24	720	476	235	550
25	750	514	227	531
26	780	560	233	502
27	810	592	227	481
28	840	619	192	465
29	870	630	158	467
30	900	631	125	479
31	930	631	100	503
32	960	640	95	508
33	990	666	96	506
34	1020	709	99	491
35	1050	732	89	489
36	1080	746	76	485
37	1110	751	64	503
38	1140	751	54	521
39	1170	752	48	537
40	1200	775	46	528
41	1230	818	48	495
42	1260	846	59	471
43	1290	871	56	463
44	1320	880	55	465
45	1350	883	50	474
46	1380	885	47	486
47	1410	888	46	497
48	1440	925	44	472
