	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	1	0	1166
2	60	30	11	1162
3	90	130	41	1069
4	120	255	76	945
5	150	363	102	840
6	180	436	127	780
7	210	467	137	764
8	240	480	138	763
9	270	487	138	778
10	300	492	151	784
11	330	508	208	730
12	360	538	263	677
13	390	564	308	624
14	420	590	339	600
15	450	605	347	606
16	480	608	348	632
17	510	608	348	653
18	540	607	350	667
19	570	593	383	651
20	600	515	452	600
21	630	404	502	552
22	660	305	536	517
23	690	232	560	495
24	720	202	567	501
25	750	187	568	509
26	780	181	568	519
27	810	180	578	524
28	840	174	625	489
29	870	154	662	462
30	900	126	684	454
31	930	102	703	443
32	960	88	709	447
33	990	87	711	457
34	1020	90	712	471
35	1050	90	715	482
36	1080	91	741	478
37	1110	89	785	439
38	1140	78	819	416
39	1170	69	845	397
40	1200	66	871	382
41	1230	62	875	395
42	1260	59	875	408
43	1290	59	875	424
44	1320	55	889	435
45	1350	58	940	394
46	1380	54	969	377
47	1410	55	1008	347
48	1440	54	1024	336
