	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	0	2	1161
2	60	17	17	1163
3	90	37	113	1082
4	120	69	257	941
5	150	108	369	817
6	180	117	429	772
7	210	118	444	795
8	240	118	449	820
9	270	118	454	840
10	300	118	456	876
11	330	118	456	917
12	360	118	457	950
13	390	118	463	972
14	420	118	465	1005
15	450	118	465	1041
16	480	118	466	1073
17	510	137	470	1079
18	540	286	493	939
19	570	440	539	753
20	600	537	500	636
21	630	577	398	575
22	660	583	287	575
23	690	585	222	591
24	720	585	203	604
25	750	585	200	618
26	780	585	197	634
27	810	585	195	663
28	840	585	197	679
29	870	585	198	694
30	900	585	194	714
31	930	585	192	731
32	960	587	193	754
33	990	633	193	726
34	1020	753	211	609
35	1050	832	213	528
36	1080	885	185	471
37	1110	906	143	458
38	1140	910	105	467
39	1170	911	93	478
40	1200	911	84	494
41	1230	911	83	508
42	1260	911	84	527
43	1290	911	81	544
44	1320	911	81	561
45	1350	911	79	577
46	1380	911	78	596
47	1410	911	80	620
48	1440	913	79	629
