	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	0	1	1162
2	60	27	16	1161
3	90	125	56	1054
4	120	234	98	938
5	150	305	133	860
6	180	387	149	778
7	210	433	159	744
8	240	449	160	744
9	270	452	160	770
10	300	458	191	773
11	330	482	253	716
12	360	521	293	663
13	390	547	331	627
14	420	568	350	611
15	450	586	358	606
16	480	589	358	624
17	510	591	358	643
18	540	592	370	653
19	570	585	422	620
20	600	509	469	586
21	630	421	499	558
22	660	345	528	544
23	690	264	538	549
24	720	212	540	564
25	750	196	540	592
26	780	192	548	609
27	810	192	603	566
28	840	184	649	522
29	870	155	680	502
30	900	129	702	488
31	930	112	709	489
32	960	95	711	506
33	990	90	711	521
34	1020	88	715	536
35	1050	91	746	519
36	1080	87	789	492
37	1110	82	832	458
38	1140	75	857	448
39	1170	71	864	448
40	1200	71	869	462
41	1230	68	869	480
42	1260	68	870	491
43	1290	67	895	481
44	1320	66	933	451
45	1350	60	963	435
46	1380	53	990	425
47	1410	47	1004	426
48	1440	43	1008	437
