	time	alive	necrotic	apoptotic
0	0	1138	0	0
1	30	1171	0	10
2	60	1167	14	29
3	90	1070	55	119
4	120	948	99	233
5	150	843	124	336
6	180	751	147	426
7	210	739	153	453
8	240	749	155	462
9	270	777	155	466
10	300	793	158	469
11	330	742	217	486
12	360	680	269	525
13	390	632	314	557
14	420	589	348	581
15	450	583	360	596
16	480	586	364	602
17	510	597	364	606
18	540	609	365	599
19	570	609	379	589
20	600	572	431	524
21	630	522	487	419
22	660	488	524	329
23	690	459	559	239
24	720	464	565	207
25	750	472	566	193
26	780	500	566	191
27	810	508	567	190
28	840	494	593	179
29	870	447	648	149
30	900	407	690	118
31	930	376	720	100
32	960	369	734	90
33	990	382	736	86
34	1020	392	736	83
35	1050	408	736	80
36	1080	414	736	79
37	1110	390	770	74
38	1140	351	810	70
39	1170	326	837	64
40	1200	326	851	59
41	1230	321	864	56
42	1260	335	866	55
43	1290	346	866	53
44	1320	354	866	52
45	1350	368	872	52
46	1380	345	902	51
47	1410	326	936	46
48	1440	309	958	43
