	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	3	1177	0
2	60	22	1188	10
3	90	140	1071	38
4	120	268	962	65
5	150	374	862	92
6	180	458	791	109
7	210	500	764	115
8	240	512	783	116
9	270	514	802	116
10	300	517	818	129
11	330	535	764	188
12	360	574	694	247
13	390	613	638	289
14	420	639	596	318
15	450	657	586	328
16	480	662	608	328
17	510	663	625	328
18	540	662	645	329
19	570	654	628	373
20	600	564	590	425
21	630	445	565	458
22	660	348	547	485
23	690	271	535	504
24	720	218	545	511
25	750	205	553	512
26	780	204	563	513
27	810	201	565	532
28	840	193	532	578
29	870	165	495	625
30	900	135	476	661
31	930	109	466	682
32	960	96	474	685
33	990	89	488	687
34	1020	91	513	688
35	1050	92	530	691
36	1080	90	523	714
37	1110	80	488	766
38	1140	80	442	811
39	1170	72	423	842
40	1200	64	418	857
41	1230	60	421	862
42	1260	61	434	862
43	1290	63	458	862
44	1320	63	469	871
45	1350	61	447	908
46	1380	56	415	953
47	1410	56	387	982
48	1440	54	376	998
