	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1175	4	0
2	60	1152	34	17
3	90	1046	137	55
4	120	934	241	87
5	150	827	353	115
6	180	756	426	137
7	210	747	458	146
8	240	757	475	147
9	270	778	479	147
10	300	793	482	147
11	330	814	482	147
12	360	837	483	148
13	390	818	486	188
14	420	703	517	284
15	450	614	546	365
16	480	559	569	414
17	510	519	595	442
18	540	529	602	445
19	570	540	588	445
20	600	561	488	445
21	630	584	387	445
22	660	592	276	445
23	690	616	196	446
24	720	593	169	486
25	750	511	165	578
26	780	457	176	628
27	810	426	188	661
28	840	419	194	685
29	870	418	201	693
30	900	437	200	694
31	930	457	176	694
32	960	466	148	694
33	990	482	124	694
34	1020	497	97	694
35	1050	485	89	721
36	1080	435	88	777
37	1110	381	100	831
38	1140	359	102	852
39	1170	352	105	871
40	1200	357	106	877
41	1230	367	102	878
42	1260	379	87	878
43	1290	394	67	878
44	1320	416	57	878
45	1350	426	47	878
46	1380	417	41	897
47	1410	362	45	963
48	1440	327	50	1003
