	time	alive	apoptotic	necrotic
0	0	1138	0	0
1	30	1175	1	0
2	60	1181	18	19
3	90	1092	106	57
4	120	976	230	83
5	150	882	331	110
6	180	820	401	129
7	210	819	430	134
8	240	836	435	135
9	270	864	436	136
10	300	886	438	136
11	330	912	439	136
12	360	944	439	136
13	390	931	443	171
14	420	813	479	283
15	450	664	534	392
16	480	570	588	449
17	510	536	616	473
18	540	544	619	477
19	570	565	612	477
20	600	584	549	477
21	630	602	416	477
22	660	619	316	477
23	690	641	234	477
24	720	658	200	483
25	750	606	204	550
26	780	521	224	632
27	810	462	246	688
28	840	441	265	703
29	870	447	271	709
30	900	460	269	710
31	930	476	241	710
32	960	485	183	710
33	990	497	131	710
34	1020	514	100	710
35	1050	535	94	711
36	1080	518	96	743
37	1110	435	101	828
38	1140	367	111	891
39	1170	336	118	923
40	1200	331	119	936
41	1230	342	121	936
42	1260	358	118	936
43	1290	372	96	936
44	1320	392	72	936
45	1350	406	52	936
46	1380	419	45	936
47	1410	420	41	946
48	1440	375	44	1001
