	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	6	0	1170
2	60	33	17	1174
3	90	127	53	1083
4	120	276	94	921
5	150	368	128	821
6	180	429	136	774
7	210	449	141	784
8	240	455	145	802
9	270	467	182	795
10	300	501	248	718
11	330	535	278	676
12	360	563	315	637
13	390	574	319	639
14	420	580	320	659
15	450	581	340	655
16	480	587	380	637
17	510	599	431	593
18	540	607	459	578
19	570	597	472	577
20	600	512	476	579
21	630	376	480	588
22	660	276	512	568
23	690	212	564	522
24	720	195	588	511
25	750	190	618	491
26	780	184	630	491
27	810	157	632	496
28	840	125	639	507
29	870	99	667	497
30	900	90	700	471
31	930	90	733	448
32	960	90	741	457
33	990	85	747	464
34	1020	77	749	472
35	1050	67	773	458
36	1080	65	817	421
37	1110	62	837	410
38	1140	62	860	408
39	1170	62	868	402
40	1200	55	869	418
41	1230	50	877	419
42	1260	51	900	411
43	1290	49	932	387
44	1320	50	955	370
45	1350	51	964	371
46	1380	51	970	378
47	1410	45	970	389
48	1440	40	979	398
