	time	apoptotic	necrotic	alive
0	0	0	0	1138
1	30	3	0	1168
2	60	21	13	1163
3	90	107	44	1073
4	120	248	82	912
5	150	351	117	800
6	180	418	134	737
7	210	454	139	720
8	240	459	140	737
9	270	466	171	723
10	300	504	220	663
11	330	544	258	607
12	360	572	290	557
13	390	591	301	557
14	420	604	302	567
15	450	610	308	572
16	480	613	331	570
17	510	624	390	526
18	540	633	418	503
19	570	626	450	479
20	600	562	463	470
21	630	436	464	481
22	660	319	469	493
23	690	253	503	475
24	720	211	552	431
25	750	211	568	418
26	780	210	588	412
27	810	179	593	414
28	840	138	593	443
29	870	106	596	456
30	900	90	628	430
31	930	78	667	403
32	960	72	691	385
33	990	72	710	378
34	1020	70	716	379
35	1050	60	717	393
36	1080	53	728	398
37	1110	48	758	384
38	1140	48	788	362
39	1170	48	811	350
40	1200	50	827	347
41	1230	44	828	358
42	1260	36	828	369
43	1290	35	842	362
44	1320	36	869	347
45	1350	37	890	336
46	1380	42	906	330
47	1410	44	920	330
48	1440	42	921	341
