	time	necrotic	apoptotic	alive
0	0	0	0	1138
1	30	1	3	1168
2	60	12	28	1162
3	90	38	143	1055
4	120	68	262	940
5	150	103	360	837
6	180	120	446	764
7	210	126	488	734
8	240	126	501	742
9	270	135	506	743
10	300	184	525	696
11	330	232	554	632
12	360	272	583	574
13	390	298	606	548
14	420	303	615	549
15	450	308	621	563
16	480	310	623	581
17	510	338	626	567
18	540	379	633	526
19	570	414	634	497
20	600	440	531	482
21	630	454	426	495
22	660	455	317	508
23	690	456	223	525
24	720	476	177	521
25	750	514	158	510
26	780	558	158	484
27	810	576	153	477
28	840	596	127	467
29	870	602	104	473
30	900	602	84	485
31	930	605	74	498
32	960	650	69	471
33	990	684	70	450
34	1020	710	70	435
35	1050	735	67	416
36	1080	742	60	420
37	1110	745	58	432
38	1140	746	56	449
39	1170	759	56	452
40	1200	792	59	431
41	1230	824	62	406
42	1260	849	63	395
43	1290	870	63	381
44	1320	874	54	386
45	1350	876	52	395
46	1380	880	48	417
47	1410	909	44	396
48	1440	941	47	379
