	time	necrotic	alive	apoptotic
0	0	0	1138	0
1	30	1	1171	0
2	60	13	1161	31
3	90	37	1080	123
4	120	66	968	237
5	150	94	871	342
6	180	130	798	404
7	210	138	769	449
8	240	139	778	459
9	270	139	806	461
10	300	139	838	461
11	330	139	860	466
12	360	170	849	476
13	390	253	761	510
14	420	330	659	547
15	450	363	609	583
16	480	386	599	591
17	510	392	604	603
18	540	393	621	605
19	570	393	639	589
20	600	393	660	504
21	630	395	674	393
22	660	454	634	289
23	690	524	566	226
24	720	572	520	200
25	750	616	488	193
26	780	633	477	192
27	810	636	485	196
28	840	636	498	192
29	870	636	518	188
30	900	636	533	158
31	930	639	543	120
32	960	683	512	98
33	990	752	458	84
34	1020	802	410	79
35	1050	824	399	80
36	1080	838	397	85
37	1110	845	400	87
38	1140	847	408	84
39	1170	847	428	81
40	1200	847	437	73
41	1230	850	442	57
42	1260	890	424	51
43	1290	936	393	50
44	1320	967	359	53
45	1350	987	345	56
46	1380	997	342	56
47	1410	1001	350	57
48	1440	1002	366	56
