	time	apoptotic	alive	necrotic
0	0	0	1138	0
1	30	0	1175	0
2	60	30	1163	12
3	90	129	1047	56
4	120	231	947	92
5	150	332	856	121
6	180	400	794	146
7	210	437	782	157
8	240	452	796	157
9	270	453	820	157
10	300	457	836	157
11	330	457	854	158
12	360	468	818	204
13	390	507	723	292
14	420	545	648	355
15	450	572	600	394
16	480	592	571	419
17	510	600	584	422
18	540	604	600	422
19	570	586	622	422
20	600	499	642	422
21	630	396	657	425
22	660	306	607	485
23	690	249	527	568
24	720	212	481	620
25	750	206	439	656
26	780	210	440	668
27	810	207	447	670
28	840	209	458	670
29	870	201	468	670
30	900	166	491	670
31	930	128	494	678
32	960	106	461	730
33	990	91	412	787
34	1020	87	384	822
35	1050	92	358	855
36	1080	91	369	862
37	1110	91	381	862
38	1140	90	391	862
39	1170	85	405	862
40	1200	66	415	862
41	1230	54	422	867
42	1260	47	388	909
43	1290	44	345	962
44	1320	47	333	986
45	1350	49	311	1009
46	1380	51	311	1016
47	1410	52	326	1016
48	1440	49	342	1016
